title,location,price
Land,  Lavington,235000000
3 Bedroom Flat & Apartment,  Hamisi Road,18000000
Flat & Apartment,  Riverside,15533595
3 Bedroom Flat & Apartment,  Kileleshwa Near The Bypass,24000000
4 Bedroom Flat & Apartment,  Othaya Road Kileleshwa,20500000
3 Bedroom Flat & Apartment,  Parklands,52000000
3 Bedroom Flat & Apartment,  General Mathenge Drive,40000000
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000
2 Bedroom Flat & Apartment,  Laikipia Road,8500000
2 Bedroom Flat & Apartment,  Fourways Junction,12000000
2 Bedroom Flat & Apartment,  Kileleshwa,12000000
3 Bedroom Flat & Apartment,  Riara Road,22000000
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Rd,16000000
3 Bedroom Flat & Apartment,  General Mathenge,24000000
3 Bedroom Flat & Apartment,  Kilimani,30000000
3 Bedroom Flat & Apartment,  Kilimani,16000000
3 Bedroom Flat & Apartment,  Kilimani,17000000
2 Bedroom Flat & Apartment,  Elgeyo Marakwet,9800000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,14000000
Commercial Land,  Parklands,800000000
5 Bedroom House,  Thigiri,140000000
3 Bedroom Flat & Apartment,  Mombasa Road Behind Gate Way Mall,8500000
3 Bedroom Flat & Apartment,  Kilimani,25900000
3 Bedroom Flat & Apartment,  Kilimani,17000000
3 Bedroom Flat & Apartment,  Kilimani,24000000
2 Bedroom Flat & Apartment,  Kilimani,15000000
Flat & Apartment,  Ngong Road,4000000
3 Bedroom Flat & Apartment,  Hendred Avenue,15000000
Flat & Apartment,  Kilimani,10000000
2 Bedroom Flat & Apartment,  Dennis Pritt,13500000
2 Bedroom Flat & Apartment,  Kilimani,13000000
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000
2 Bedroom Flat & Apartment,  Kilimani Road,12000000
2 Bedroom Flat & Apartment,  Kilimani,12000000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000
3 Bedroom Flat & Apartment,  Riara Road,22000000
2 Bedroom Flat & Apartment,  Dennis Pritt Road,13000000
3 Bedroom Townhouse,  Kiambu Road,35250000
3 Bedroom Flat & Apartment,  Kirichwa Road,19500000
3 Bedroom Flat & Apartment,  Dennis Pritt Road,19500000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,19800000
Flat & Apartment,  Denis Pritt,9700000
3 Bedroom Flat & Apartment,  Dennis Pritt,19500000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000
3 Bedroom Flat & Apartment,  Kilimani,18500000
3 Bedroom Flat & Apartment,  Kilimani,16500000
3 Bedroom Flat & Apartment,  Kilimani,16500000
2 Bedroom Flat & Apartment,  Kilimani,13000000
2 Bedroom Flat & Apartment,  Elgeyo Marakwet,9800000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,19800000
3 Bedroom Flat & Apartment,  Kilimani,21000000
3 Bedroom Flat & Apartment,  Kilimani,12500000
3 Bedroom Flat & Apartment,  Kilimani Road,12500000
3 Bedroom Flat & Apartment,  Rhapta Road,34000000
4 Bedroom Flat & Apartment,  Kileleshwa,21500000
3 Bedroom Flat & Apartment,  Riara Road,22000000
2 Bedroom Flat & Apartment,  Kilimani,11500000
2 Bedroom Flat & Apartment,  Kilimani,11200000
3 Bedroom Flat & Apartment,  Dennis Pritt Road,19500000
3 Bedroom Flat & Apartment,  Kilimani,24000000
2 Bedroom Flat & Apartment,  Argwings Kodhek ,9000000
3 Bedroom Flat & Apartment,  Kilimani Road,12500000
3 Bedroom Flat & Apartment,  Dennis Pritt Road,19500000
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000
2 Bedroom Flat & Apartment,  Kilimani,9800000
3 Bedroom Flat & Apartment,  Denis Pritt,10200000
3 Bedroom Flat & Apartment,  Kilimani Road,12500000
3 Bedroom Flat & Apartment,  Near Yaya Center,13700000
3 Bedroom Flat & Apartment,  Denis Pritt,10200000
3 Bedroom Flat & Apartment,  Kilimani,10900000
 3 Bedroom Flat & Apartment,  Hekima Road,12000000
3 Bedroom Flat & Apartment,  Kilimani,12500000
3 Bedroom Flat & Apartment,  Kilimani,13700000
3 Bedroom Flat & Apartment,  Muringa Road,14000000
3 Bedroom Flat & Apartment,  Gitanga Road,18500000
Flat & Apartment,  Dennis Pritt ,6500000
2 Bedroom Flat & Apartment,  Yaya Center ,8600000
3 Bedroom Flat & Apartment,  East Church Road,18500000
4 Bedroom Flat & Apartment,  Kilimani Road,26000000
4 Bedroom Flat & Apartment,  Kilimani,26000000
2 Bedroom Flat & Apartment,  General Mathenge,18000000
4 Bedroom Flat & Apartment,  Kilimani Road,26000000
Studio,  Kindaruma Road,3600000
4 Bedroom Flat & Apartment,  Kilimani Road,26000000
4 Bedroom Flat & Apartment,  Kilimani,26000000
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000
4 Bedroom Flat & Apartment,  Riara Road,25000000
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000
4 Bedroom Flat & Apartment,  Riara Road,25000000
4 Bedroom Flat & Apartment,  Kilungu Road,17000000
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000
Flat & Apartment,  4Th Parklands Avenue,8000000
3 Bedroom Flat & Apartment,  Othaya Road,17500000
4 Bedroom Flat & Apartment,  Riara Road,25000000
4 Bedroom Flat & Apartment,  Argwings Kodhek Road ,25000000
4 Bedroom Flat & Apartment,  Riara Road,25000000
4 Bedroom Flat & Apartment,  Riara Road,25000000
3 Bedroom Flat & Apartment,  Church Road,20000000
3 Bedroom Flat & Apartment,  Rhapta Road,25500000
4 Bedroom Flat & Apartment,  Othaya Road,21000000
2 Bedroom Flat & Apartment,  Kindaruma Road,6600000
2 Bedroom Flat & Apartment,  Gen. Mathege,26000000
2 Bedroom Flat & Apartment,  Ojijo Road,16500000
2 Bedroom Flat & Apartment,  Gen. Mathege,26000000
2 Bedroom Flat & Apartment,  Gen. Mathege Road,26000000
2 Bedroom Flat & Apartment,  Gen. Mathege Road,26000000
2 Bedroom Flat & Apartment,  Gen. Mathege Road,26000000
3 Bedroom Flat & Apartment,  Riverside,26000000
4 Bedroom Flat & Apartment,  Kingara Road,20000000
Office,  Off Lower Kabete Road,30680000
2 Bedroom Flat & Apartment,  Kiambu Road,10500000
Shop,  Runda,30000000
2 Bedroom Flat & Apartment,  Lavington,10000000
4 Bedroom House,  Westlands,75000000
2 Bedroom Flat & Apartment,  Parklands,14000000
3 Bedroom Flat & Apartment,  Mwingi Road,29000000
3 Bedroom Flat & Apartment,  Mwingi Road,25500000
2 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000
3 Bedroom Flat & Apartment,  Riverside Drive,55000000
3 Bedroom Flat & Apartment,  Hekima Road,12000000
3 Bedroom Flat & Apartment,  Jabavu Lane,12000000
4 Bedroom Flat & Apartment,  Riverside,45000000
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000
3 Bedroom Flat & Apartment,  Church Road,20000000
3 Bedroom Flat & Apartment,  Church Road,20000000
3 Bedroom Flat & Apartment,  Church Road,20000000
3 Bedroom Flat & Apartment,  Parklands,15000000
3 Bedroom Flat & Apartment,  Hekima Road,12000000
2 Bedroom Flat & Apartment,  Othaya Road,7500000
4 Bedroom Flat & Apartment,  Lavington,21500000
3 Bedroom Flat & Apartment,  Hamisi Rd,22500000
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000
3 Bedroom Flat & Apartment,  Lavington,17500000
3 Bedroom Flat & Apartment,  Lavington,17000000
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000
2 Bedroom Flat & Apartment,  South B,8500000
Flat & Apartment,  Thika Road,6900000
2 Bedroom Flat & Apartment,  Suguta Road,15000000
5 Bedroom House,  Mirema,24000000
5 Bedroom House,  Ridgeways,90000000
3 Bedroom Flat & Apartment,  Parklands,15500000
Shop,  Runda,30000000
