title,location,price
5 Bedroom Townhouse,  Lavington,75000000
5 Bedroom Townhouse,  Lavington,75000000
5 Bedroom Townhouse,  Lavington,75000000
5 Bedroom Townhouse,  Lavington,75000000
4 Bedroom Townhouse,  Kiambu Road,36000000
2 Bedroom Flat & Apartment,  Dennis Pritt,19000000
5 Bedroom Townhouse,  Lavington,55000000
4 Bedroom Townhouse,  Westlands Area,95000000
4 Bedroom Flat & Apartment,  Kilimani,36000000
2 Bedroom Flat & Apartment,  Brookside,19000000
Flat & Apartment,  Kilimani,12000000
3 Bedroom Bungalow,  Ruai,4500000
5 Bedroom Townhouse,  Lavington,65000000
3 Bedroom Flat & Apartment,  Wambugu Close,16500000
5 Bedroom Townhouse,  Loresho,180000000
3 Bedroom Flat & Apartment,  Riverside,45000000
3 Bedroom Flat & Apartment,  Riverside,45000000
5 Bedroom House,  Silanga Road,90000000
4 Bedroom Flat & Apartment,  Riverside,60000000
4 Bedroom Townhouse,  Kitisuru,65000000
4 Bedroom Flat & Apartment,  Lavington,21000000
4 Bedroom Flat & Apartment,  Westlands Area,74000000
3 Bedroom Flat & Apartment,  Othaya Road,18000000
3 Bedroom Flat & Apartment,  Kileleshwa,12000000
3 Bedroom Bungalow,  Lavington,170000000
4 Bedroom Flat & Apartment,  Kileleshwa,12500000
6 Bedroom House,  Kirawa Road,140000000
4 Bedroom House,  Kigwa Road,90000000
Office,  Parklands,120
2 Bedroom Flat & Apartment,  Mwingi Road,10500
4 Bedroom Townhouse,  Runda,69000000
4 Bedroom House,  Mountain View,35000000
4 Bedroom House,  Muiri Lane,63000000
Office,  Upper Hill,19500000
Commercial Property,  Westlands Area,8500
5 Bedroom House,  Karen,80000000
4 Bedroom Flat & Apartment,  General Mathenge,32000000
4 Bedroom Flat & Apartment,  Kileleshwa,34000000
2 Bedroom Studio,  Othaya Road,3600000
3 Bedroom Flat & Apartment,  Brookside Drive,20000000
3 Bedroom Townhouse,  Kitisuru,9500000
3 Bedroom Bungalow,  Kangundo Road,3950000
2 Bedroom Flat & Apartment,  Garden City,19000000
5 Bedroom Townhouse,  Miotoni,120000000
4 Bedroom Townhouse,  Kitisuru,47500000
3 Bedroom Flat & Apartment,  Siaya Road,24000000
3 Bedroom Flat & Apartment,  Brookside,27000000
2 Bedroom Flat & Apartment,  Parklands,12000000
6 Bedroom Townhouse,  Lavington,44500000
5 Bedroom Townhouse,  Lavington,54000000
5 Bedroom Townhouse,  Lavington,60000000
4 Bedroom Flat & Apartment,  Lavington,41000000
3 Bedroom Flat & Apartment,  Riverside,22000000
5 Bedroom Townhouse,  Karen,120000000
4 Bedroom House,  Westlands Area,100000000
3 Bedroom Flat & Apartment,  Westlands Area,28000000
6 Bedroom Townhouse,  Chalbi,64000000
6 Bedroom Townhouse,  Chalbi,64000000
6 Bedroom Townhouse,  Chalbi,64000000
6 Bedroom Townhouse,  Chalbi,64000000
6 Bedroom Townhouse,  Chalbi,64000000
5 Bedroom Townhouse,  Lavington,65000000
3 Bedroom House,  Off Savannah Road,12000000
5 Bedroom Townhouse,  Mpaka Road ,45500000
3 Bedroom Flat & Apartment,  Kileleshwa,23000000
3 Bedroom Flat & Apartment,  Argwing Kodhek,11000000
4 Bedroom Townhouse,  Dennis Pritt,38000000
3 Bedroom Flat & Apartment,  Kileleshwa,21000000
Flat & Apartment,  Riverside,12500000
3 Bedroom Flat & Apartment,  Riverside,25000000
3 Bedroom Flat & Apartment,  Kilimani,10400000
3 Bedroom Townhouse,  Runda,29000000
3 Bedroom Flat & Apartment,  Westlands Area,23000000
4 Bedroom Flat & Apartment,  General Mathenge,42000000
3 Bedroom Flat & Apartment,  Vihiga Road,25000000
2 Bedroom Flat & Apartment,  Two Rivers,12300000
3 Bedroom Flat & Apartment,  Lavington,26000000
3 Bedroom House,  Thika Road,5100000
4 Bedroom Townhouse,  Gardenia Drive,82000000
3 Bedroom Flat & Apartment,  Two Rivers,14400000
3 Bedroom Flat & Apartment,  Lavington,17500000
5 Bedroom Townhouse,  On Forest Line Road,89000000
3 Bedroom Flat & Apartment,  Othaya Road,23900000
6 Bedroom House,  Gigiri,90000000
3 Bedroom Flat & Apartment,  Off Riara Road,20000000
2 Bedroom Flat & Apartment,  Westlands Area,10500000
3 Bedroom Bungalow,  Thika Road,3500000
2 Bedroom Flat & Apartment,  Kileleshwa,16000000
3 Bedroom Flat & Apartment,  Mpaka Road,28000000
3 Bedroom Flat & Apartment,  Kileleshwa,20000000
3 Bedroom Flat & Apartment,  Kiambu Road,12000000
3 Bedroom Flat & Apartment,  Parklands,19000000
4 Bedroom Flat & Apartment,  3Rd Parklands Avenue,22000000
2 Bedroom Flat & Apartment,  Mbagathi Way,6950000
3 Bedroom Flat & Apartment,  Two Rivers,30000000
3 Bedroom Flat & Apartment,  Ngong Road,12500000
2 Bedroom Flat & Apartment,  Two Rivers,23000000
2 Bedroom Flat & Apartment,  Kilimani,23500000
4 Bedroom Flat & Apartment,  Kingara Road,38000000
Flat & Apartment,  Two Rivers,15000000
7 Bedroom House,  Old Runda,130000000
3 Bedroom Flat & Apartment,  Mombasa Road,9800000
Flat & Apartment,  Mombasa Road,6950000
4 Bedroom Flat & Apartment,  Lavington,18000000
4 Bedroom Townhouse,  Kitisuru,29000000
3 Bedroom Flat & Apartment,  Lenana Road ,17000000
3 Bedroom Flat & Apartment,  Kilimani,17000000
2 Bedroom Flat & Apartment,  Elgeyo Marakwet,9800000
3 Bedroom Flat & Apartment,  Kilimani,13500000
3 Bedroom Flat & Apartment,  Lavington,12000000
6 Bedroom House,  Lavington,100000000
3 Bedroom Flat & Apartment,  Kileleshwa,17500000
4 Bedroom Townhouse,  Kilimani Estate,29500000
2 Bedroom Flat & Apartment,  Junction Mall,9900000
Flat & Apartment,  Denis Pritt,4500000
4 Bedroom Flat & Apartment,  Junction Mall,17000000
Flat & Apartment,  Dennis Pritt Road,6500000
2 Bedroom Flat & Apartment,  Kilimani,3600000
2 Bedroom Flat & Apartment,  Kileleshwa,10000000
2 Bedroom Flat & Apartment,  Off Ole Shapara Road,8000000
3 Bedroom Flat & Apartment,  Lavington,13000000
4 Bedroom Flat & Apartment,  Kileleshwa,21500000
4 Bedroom Flat & Apartment,  Ndemi Road,17000000
4 Bedroom Flat & Apartment,  Ndemi Road,17000000
4 Bedroom Flat & Apartment,  Ndemi Road,17000000
4 Bedroom Flat & Apartment,  Ndemi Road,17000000
4 Bedroom Flat & Apartment,  Ndemi Road,17000000
3 Bedroom Flat & Apartment,  Mugoiri Road,12600000
2 Bedroom Flat & Apartment,  Ngong Road,8500000
2 Bedroom Flat & Apartment,  Langata Area,50000
3 Bedroom Flat & Apartment,  General Mathenge,37500000
3 Bedroom Flat & Apartment,  Mvuli Road,24000000
3 Bedroom Flat & Apartment,  Othaya Road,18000000
3 Bedroom Flat & Apartment,  Kilimani,17900000
3 Bedroom Flat & Apartment,  Kilimani,15900000
4 Bedroom House,  Fair Acres Rd,87000000
3 Bedroom Flat & Apartment,  Westlands Area,21000000
3 Bedroom Flat & Apartment,  Kindaruma Road,12950000
3 Bedroom Flat & Apartment,  Rhapta Road,25000000
Flat & Apartment,  Othaya Road,3600000
3 Bedroom Flat & Apartment,  Othaya Road,11000000
2 Bedroom Flat & Apartment,  Parklands,15000000
2 Bedroom Flat & Apartment,  Kindaruma Road ,12000000
3 Bedroom Townhouse,  Kiambu Road,26000000
3 Bedroom Bungalow,  Kenyatta Road Exit 14,4990000
4 Bedroom Residential Land,  Lavington,130000000
3 Bedroom Flat & Apartment,  Othaya Road,17500000
3 Bedroom Flat & Apartment,  Kilimani,19000000
3 Bedroom Flat & Apartment,  Kilimani,12300000
5 Bedroom Townhouse,  Westlands Area,45000000
4 Bedroom Flat & Apartment,  Riverside,75000000
6 Bedroom House,  Nyari,85000000
3 Bedroom Flat & Apartment,  Lavington,10000000
5 Bedroom Townhouse,  Westlands Area,45000000
4 Bedroom Townhouse,  Lavington,51000000
3 Bedroom Flat & Apartment,  Siaya Road,26000000
4 Bedroom House,  Fedha,30000000
3 Bedroom Flat & Apartment,  Kilimani,14000000
2 Bedroom Flat & Apartment,  Thika Road,18000000
2 Bedroom Flat & Apartment,  Lavington,8500000
Flat & Apartment,  Kilimani,6500000
4 Bedroom House,  Brookside,60000000
Studio,  Westlands Area,8900000
2 Bedroom Flat & Apartment,  Othaya Road ,7500000
6 Bedroom House,  Old Runda,100000000
6 Bedroom House,  Karen,70000000
7 Bedroom House,  Karen,110000000
Residential Land,  Loresho Ridge,39800000
3 Bedroom Flat & Apartment,  General Mathenge,25000000
5 Bedroom Townhouse,  Chalbi Drive,85000000
3 Bedroom Flat & Apartment,  Lavington,18000000
3 Bedroom House,  Westlands Area,23500000
5 Bedroom Townhouse,  Statehouse Road,140000000
5 Bedroom Commercial Land,  Springvalley Road,350000000
Flat & Apartment,  Kasarani Area,33000000
2 Bedroom Flat & Apartment,  Mandera Road,11570569
Commercial Land,  Upperhill,210000000
Office,  3Rd Parklands ,18876000
5 Bedroom Townhouse,  Karen,105000000
5 Bedroom Townhouse,  Kwarara Road ,75000000
4 Bedroom Townhouse,  Kangemi,45000000
5 Bedroom House,  Karen,95000000
5 Bedroom Bungalow,  Karen,85000000
4 Bedroom House,  Kileleshwa,35000000
4 Bedroom Townhouse,  Kilimani,60000000
2 Bedroom Flat & Apartment,  Riverside Lane,16300000
4 Bedroom Bungalow,  Loresho,75000000
6 Bedroom Bungalow,  Lavington,140000000
5 Bedroom Townhouse,  Karen,120000000
3 Bedroom Flat & Apartment,  Runda,30000000
4 Bedroom House,  Runda,100000000
Flat & Apartment,  Kilimani,10500000
5 Bedroom House,  Karen,50000000
3 Bedroom Flat & Apartment,  General Mathenge,24000000
5 Bedroom House,  Karen,160000000
4 Bedroom Townhouse,  Sifa Springs,19300000
5 Bedroom Townhouse,  Lavington,75000000
3 Bedroom Flat & Apartment,  Lantana Road,16500000
Office,  Rosslyn,60438000
3 Bedroom Flat & Apartment,  Kileleshwa,23500000
5 Bedroom House,  Karen,105000000
4 Bedroom Townhouse,  Off Kiambu Rd,37000000
3 Bedroom Flat & Apartment,  Dennis Pritt,12200000
2 Bedroom Flat & Apartment,  Othaya Road,7500000
3 Bedroom Flat & Apartment,  Dennis Pritt,10200000
Flat & Apartment,  Kilimani,6200000
Warehouse,  Mombasa Road,43000000
4 Bedroom House,  Karen,165000000
7 Bedroom Townhouse,  Nairobi West,27000000
 2 Bedroom Flat & Apartment,  Dennis Pritt,7200000
4 Bedroom Townhouse,  Lavington,66000000
Studio,  Waiyaki Way,3500000
2 Bedroom Flat & Apartment,  Dennis Pritt,8200000
6 Bedroom Townhouse,  Runda,75000000
3 Bedroom Flat & Apartment,  Thika Road,35000000
2 Bedroom Flat & Apartment,  Off Laikipia Road,23000000
2 Bedroom Flat & Apartment,  Kilimani,11000000
5 Bedroom Townhouse,  Convent Drive,68000000
3 Bedroom Townhouse,  Kilimani,30000000
3 Bedroom Flat & Apartment,  Kirawa Rd,12200000
3 Bedroom Flat & Apartment,  Kilimani,15000000
4 Bedroom House,  Rosslyn,66300000
5 Bedroom Townhouse,  Kyuna,60000000
3 Bedroom Flat & Apartment,  Syokimau,11000000
5 Bedroom House,  Ridgeways,90000000
5 Bedroom Townhouse,  Karen,70000000
5 Bedroom Townhouse,  Lavington,62000000
3 Bedroom Flat & Apartment,  Kilimani,22000000
3 Bedroom Flat & Apartment,  Riverside,42000000
5 Bedroom Townhouse,  Lavington,88000000
3 Bedroom Flat & Apartment,  Kileleshwa,16500000
5 Bedroom House,  Runda,180000000
3 Bedroom Flat & Apartment,  Kileleshwa,28000000
3 Bedroom Flat & Apartment,  Kilimani,11000000
2 Bedroom Flat & Apartment,  Kilimani,11000000
3 Bedroom Flat & Apartment,  Kilungu Road,13000000
3 Bedroom Flat & Apartment,  Kirichwa Road,17000000
2 Bedroom Flat & Apartment,  Near Total Embakasi,5800000
2 Bedroom Flat & Apartment,  General Mathenge,24000000
5 Bedroom Townhouse,  Lavington,50000000
4 Bedroom Flat & Apartment,  Valley Arcade,21000000
2 Bedroom Flat & Apartment,  Green House,17500000
3 Bedroom Flat & Apartment,  Green House,21000000
Flat & Apartment,  Junction Mall,10500000
3 Bedroom Flat & Apartment,  Junction Mall,13500000
2 Bedroom Flat & Apartment,  Kindaruma Road,12000000
4 Bedroom Flat & Apartment,  Kilimani,24000000
3 Bedroom Flat & Apartment,  Kileleshwa,23000000
4 Bedroom Flat & Apartment,  Lavington,35000000
3 Bedroom Flat & Apartment,  Dennis Pritt,14900000
3 Bedroom Flat & Apartment,  Kiambu Road,10500000
4 Bedroom Townhouse,  Rhapta Road,45000000
2 Bedroom Flat & Apartment,  Mugoiri Road,12000000
2 Bedroom Flat & Apartment,  Spring Valley,19500000
3 Bedroom Flat & Apartment,  Kindaruma Road,14500000
3 Bedroom Flat & Apartment,  Green House,14450000
2 Bedroom Flat & Apartment,  Kilimani,10000000
3 Bedroom Flat & Apartment,  Junction Mall,13000000
4 Bedroom Townhouse,  Donholm,18000000
2 Bedroom Flat & Apartment,  Argwings Kodhek,9000000
3 Bedroom Flat & Apartment,  Jabavu Road,12800000
5 Bedroom Townhouse,  Forest Lane Road,89000000
2 Bedroom Flat & Apartment,  Kilimani,12950000
5 Bedroom Townhouse,  Kaputei Road,60000000
3 Bedroom Flat & Apartment,  Junction Mall,14000000
2 Bedroom Flat & Apartment,  Othaya Road,8500000
2 Bedroom Flat & Apartment,  Kilimani,11500000
Flat & Apartment,  Parklands,8000000
2 Bedroom Flat & Apartment,  Wood Avenue,11000000
5 Bedroom Flat & Apartment,  Lavington,25000000
5 Bedroom Townhouse,  Syokimau,14750000
2 Bedroom Flat & Apartment,  Kingara Road,12000000
3 Bedroom Flat & Apartment,  Kilimani,12700000
2 Bedroom Flat & Apartment,  Kilimani,11000000
2 Bedroom Flat & Apartment,  Kilimani,9200000
5 Bedroom Townhouse,  Runda,170000000
2 Bedroom Flat & Apartment,  Kilimani,12000000
2 Bedroom Flat & Apartment,  Kilimani,952000000
4 Bedroom Flat & Apartment,  Wood Avenue,13400000
3 Bedroom Flat & Apartment,  Othaya Rd,18000000
2 Bedroom Flat & Apartment,  Lavington,10000000
4 Bedroom Townhouse,  Convent Drive,67000000
3 Bedroom Flat & Apartment,  Lavington,25000000
2 Bedroom Flat & Apartment,  Westlands Area,24500000
2 Bedroom Flat & Apartment,  Kileleshwa,7900000
4 Bedroom Flat & Apartment,  Othaya Rd,21000000
5 Bedroom Townhouse,  Rosslyn,100000000
5 Bedroom Townhouse,  Lavington,70000000
3 Bedroom Flat & Apartment,  Kileleshwa,20000000
4 Bedroom Flat & Apartment,  Kileleshwa,31990000
Flat & Apartment,  Kileleshwa,7600000
4 Bedroom Townhouse,  Ridgeways,45000000
3 Bedroom Flat & Apartment,  Kilimani,19000000
3 Bedroom Flat & Apartment,  Kilimani,16250000
5 Bedroom House,  Miotoni Ridge,70000000
5 Bedroom House,  Kilimani,30000000
2 Bedroom Flat & Apartment,  Kilimani,10800000
5 Bedroom Bungalow,  Karen,69900000
4 Bedroom House,  Loresho,28000000
3 Bedroom Flat & Apartment,  Riruta,9000000
3 Bedroom Flat & Apartment,  Kilimani,16500000
3 Bedroom Flat & Apartment,  Kilimani,15500000
2 Bedroom Flat & Apartment,  Gatundu Close,14000000
2 Bedroom Flat & Apartment,  Kileleshwa,19500000
2 Bedroom Flat & Apartment,  Kamiti Road,8500000
4 Bedroom Townhouse,  Nyari Central,145000000
3 Bedroom Flat & Apartment,  Raphta Road,25500000
Flat & Apartment,  Kilimani,4500000
5 Bedroom Townhouse,  Mandera Road,55000000
4 Bedroom Townhouse,  Sub zone,21000000
5 Bedroom Townhouse,  Lavington,90000000
3 Bedroom Flat & Apartment,  Kileleshwa,18000000
3 Bedroom Flat & Apartment,  Imara Daima,7250000
6 Bedroom House,  Runda,200000000
3 Bedroom Flat & Apartment,  Kilimani,28000000
2 Bedroom Flat & Apartment,  Imara Daima,7900000
3 Bedroom Flat & Apartment,  Kileleshwa,24000000
3 Bedroom Flat & Apartment,  Kilimani,18000000
2 Bedroom Flat & Apartment,  Palm Flats,24000000
4 Bedroom Townhouse,  Karen Kcb,65000000
2 Bedroom Flat & Apartment,  Kileleshwa,25000000
2 Bedroom Flat & Apartment,  Kilimani,11000000
2 Bedroom Flat & Apartment,  Kilimani,8900000
3 Bedroom Flat & Apartment,  Muringa Road,16500000
4 Bedroom Flat & Apartment,  Kilimani,28000000
3 Bedroom Flat & Apartment,  Kileleshwa,20000000
2 Bedroom Flat & Apartment,  Kilimani,10000000
2 Bedroom Flat & Apartment,  Kilimani,10000000
5 Bedroom Townhouse,  Spring Valley,52000000
Flat & Apartment,  Kindaruma Road,3600000
4 Bedroom Townhouse,  Karen,105000000
4 Bedroom Bungalow,  Karen,75000000
3 Bedroom Flat & Apartment,  Valley Arcade,17000000
2 Bedroom Flat & Apartment,  Kilimani,8000000
3 Bedroom Flat & Apartment,  Kilimani,19000000
3 Bedroom Flat & Apartment,  Kilimani,11000000
3 Bedroom Flat & Apartment,  Lavington,15500000
2 Bedroom Flat & Apartment,  Kileleshwa,8500000
3 Bedroom Flat & Apartment,  Mpaka Road,27000000
3 Bedroom Flat & Apartment,  Riverside Drive,21000000
3 Bedroom Flat & Apartment,  Lavington,18000000
2 Bedroom Flat & Apartment,  Kileleshwa,8500000
3 Bedroom Flat & Apartment,  Kangundo Road,20000000
3 Bedroom Flat & Apartment,  Lavington,17500000
3 Bedroom Flat & Apartment,  Masanduku Lane,17500000
5 Bedroom Townhouse,  Kitisuru,145000000
3 Bedroom Townhouse,  Kiambu Road,18450000
5 Bedroom Flat & Apartment,  Kilimani,27000000
4 Bedroom Flat & Apartment,  Kilimani,30000000
4 Bedroom Townhouse,  Lavington,60000000
Commercial Property,  Kileleshwa,180000000
3 Bedroom Flat & Apartment,  Lavington,17000000
4 Bedroom Flat & Apartment,  Lavington,35000000
2 Bedroom Flat & Apartment,  Othaya Road,13000000
4 Bedroom House,  Rosslyn,95000000
3 Bedroom Flat & Apartment,  Othaya Road,17500000
3 Bedroom Flat & Apartment,  Hekima Road,12000000
3 Bedroom Flat & Apartment,  Kilimani,12000000
4 Bedroom Flat & Apartment,  Kilimani,16650000
2 Bedroom Flat & Apartment,  Kileleshwa,14000000
4 Bedroom Flat & Apartment,  Kilungu Road,17000000
3 Bedroom Flat & Apartment,  Kilimani,17000000
2 Bedroom Flat & Apartment,  Muguga Green,18000000
3 Bedroom Bungalow,  Karen,45000000
2 Bedroom Flat & Apartment,  Westlands Area,10000000
3 Bedroom Flat & Apartment,  Parklands,13000000
3 Bedroom Flat & Apartment,  2Nd Parklands ,36000000
3 Bedroom Flat & Apartment,  Othaya Road,17500000
3 Bedroom House,  Kiambu Road,60000000
2 Bedroom Flat & Apartment,  Hurlingham,9500000
"2 Bedroom Flat & Apartment
 ",  Argwings Kodhek,14500000
5 Bedroom Townhouse,  Kitisuru,300000000
3 Bedroom Flat & Apartment,  Kilimani,14000000
Flat & Apartment,  Lavington,9690000
5 Bedroom Flat & Apartment,  Lenana Road,25000000
2 Bedroom Townhouse,  Nairobi West,31000000
2 Bedroom Flat & Apartment,  Riverside,15000000
2 Bedroom Flat & Apartment,  Kileleshwa,14500000
2 Bedroom Flat & Apartment,  Elgeyo Marakwet,10500000
4 Bedroom Flat & Apartment,  Brookside,23900000
Flat & Apartment,  Lavington,10000000
4 Bedroom House,  Fourways Junction Estate,28000000
4 Bedroom Flat & Apartment,  Fourways Junction Estate,13000000
2 Bedroom Flat & Apartment,  Dennis Pritt,13000000
3 Bedroom Flat & Apartment,  Lavington,17500000
2 Bedroom Flat & Apartment,  Othaya Road,12000000
3 Bedroom Flat & Apartment,  Kileleshwa,18000000
2 Bedroom Flat & Apartment,  Dennis Pritt Rd,14000000
4 Bedroom Flat & Apartment,  Lavington,20500000
3 Bedroom Flat & Apartment,  Othaya Road,18000000
2 Bedroom Flat & Apartment,  Naivasha Road,6800000
4 Bedroom Flat & Apartment,  General Mathenge Lane,74000000
5 Bedroom Townhouse,  Runda,85000000
4 Bedroom Townhouse,  Runda,37000000
3 Bedroom Flat & Apartment,  Lavington,21000000
2 Bedroom Flat & Apartment,  Mountain View,7000000
3 Bedroom House,  Kiambu Road,18450000
3 Bedroom Flat & Apartment,  Sports,25000000
2 Bedroom Flat & Apartment,  Westlands Area,17000000
4 Bedroom House,  Kiambu Road,19950000
5 Bedroom Townhouse,  Lavington,75000000
5 Bedroom Townhouse,  Lavington,66000000
6 Bedroom Townhouse,  Lavington,75000000
5 Bedroom Townhouse,  Lavington,70000000
4 Bedroom Townhouse,  Lavington,55000000
4 Bedroom House,  Kilimani,26000000
4 Bedroom House,  Ewaso Ngiro,140000000
Flat & Apartment,  Madaraka,8500000
3 Bedroom Flat & Apartment,  Lavington,21000000
2 Bedroom Flat & Apartment,  Kileleshwa,8500000
3 Bedroom Flat & Apartment,  Off Southern Bypass,8000000
2 Bedroom Flat & Apartment,  Othaya Road,7500000
3 Bedroom Flat & Apartment,  Sore Rd ,13000000
2 Bedroom Flat & Apartment,  Maziwa,8500000
4 Bedroom Flat & Apartment,  Kileleshwa,30000000
3 Bedroom Flat & Apartment,  Kilimani,27000000
5 Bedroom House,  Loresho,160000000
3 Bedroom Townhouse,  Waiyaki Way,11500000
6 Bedroom House,  Karen,65000000
7 Bedroom House,  Runda,170000000
4 Bedroom Townhouse,  Riverside,60000000
4 Bedroom Townhouse,  Chalbi Drive,68000000
3 Bedroom Flat & Apartment,  Onyx Place Apartments,9500000
2 Bedroom Flat & Apartment,  Kitisuru,7700000
3 Bedroom Flat & Apartment,  Waiyaki Way,11000000
4 Bedroom Townhouse,  Rosslyn,66300000
3 Bedroom Flat & Apartment,  Langata Area,6500000
4 Bedroom Flat & Apartment,  Lavington,23000000
4 Bedroom Townhouse,  Kileleshwa,35000000
4 Bedroom Flat & Apartment,  Othaya Road,21500000
4 Bedroom House,  Gatundu Crescent,39500000
3 Bedroom Flat & Apartment,  Riverside,40000000
4 Bedroom Townhouse,  Carnivore Garden's,18999999
4 Bedroom Townhouse,  Lavington,85000000
Warehouse,  Industrial Area,155000000
4 Bedroom Townhouse,  Westlands Area,40000000
2 Bedroom Flat & Apartment,  Imara Daima,6800000
4 Bedroom Townhouse,  Brookside Drive,45000000
4 Bedroom Townhouse,  Windy Ridge,74000000
3 Bedroom Flat & Apartment,  Kilimani,18000000
3 Bedroom Flat & Apartment,  Uthiru/Ruthimitu,8500000
5 Bedroom Flat & Apartment,  Amboseli,55000000
5 Bedroom Townhouse,  Kaputei Gardens,65000000
2 Bedroom Flat & Apartment,  Lavington,10000000
Residential Land,  Pan African Insurance Avenue,50000000
5 Bedroom House,  Runda,100000000
3 Bedroom Flat & Apartment,  Riruta,8200000
2 Bedroom Flat & Apartment,  Mombasa Road,5000000
5 Bedroom Townhouse,  Runda,165000000
3 Bedroom Flat & Apartment,  Riruta,9000000
5 Bedroom House,  Karen,130000000
4 Bedroom House,  Karen,75000000
Studio,  Kilimani,3500000
3 Bedroom Flat & Apartment,  Parklands,13500000
Commercial Property,  Karen,87000000
2 Bedroom House,  Riara Road,22000000
2 Bedroom House,  Waiyaki Way,17500000
5 Bedroom House,  Runda Drive,195000000
5 Bedroom House,  Off Runda Drive,178000000
5 Bedroom House,  Runda Drive,225000000
5 Bedroom House,  Nyari,125000000
4 Bedroom Bungalow,  Donholm,30000000
3 Bedroom Flat & Apartment,  Clay City,8650000
 2 Bedroom Flat & Apartment,  Lavington,10000000
4 Bedroom Bungalow,  Off Warai South Road,74000000
4 Bedroom House,  Karen Hub,45000000
6 Bedroom Townhouse,  Lavington,70000000
3 Bedroom Flat & Apartment,  Westlands Area,21000000
4 Bedroom House,  Muthaiga Area,250000000
5 Bedroom Bungalow,  Karen,170000000
3 Bedroom Flat & Apartment,  Kasarani Area,10500000
4 Bedroom House,  Loresho,75000000
4 Bedroom Flat & Apartment,  General Mathenge,45000000
5 Bedroom Townhouse,  Karen,120000000
3 Bedroom Flat & Apartment,  Baraka/Nyayo,8000000
3 Bedroom House,  Riverside,35000000
4 Bedroom Townhouse,  Kileleshwa,28000000
2 Bedroom Flat & Apartment,  Naivasha Road,6490000
5 Bedroom House,  Spring Valley,55000000
4 Bedroom House,  Daisy Lane,128000000
6 Bedroom House,  Runda,90000000
Warehouse,  Industrial Area,27500000
Flat & Apartment,  Wanyee Road,3000000
5 Bedroom House,  Lavington,55000000
3 Bedroom Flat & Apartment,  Valley Arcade,18000000
5 Bedroom House,  Karen,160000000
5 Bedroom Townhouse,  Miotoni ,135000000
4 Bedroom Flat & Apartment,  Othaya Road,22500000
4 Bedroom House,  Kiambu Road,36250000
4 Bedroom House,  Kiambu Road,80000000
5 Bedroom House,  Riverside,70000000
Flat & Apartment,  Wanyee Road,2500000
5 Bedroom Townhouse,  Lavington,75000000
3 Bedroom Flat & Apartment,  Valley Arcade,32000000
4 Bedroom Townhouse,  Kitisuru Ridgew,55000000
5 Bedroom House,  Karen,120000000
6 Bedroom Townhouse,  Kitisuru,150000000
5 Bedroom House,  Kiambu Road,26000000
Land,  Kitisuru,50000000
5 Bedroom House,  Garden Estate,33000000
3 Bedroom Bungalow,  Thika Road,3500000
5 Bedroom Townhouse,  Lavington,47500000
2 Bedroom Flat & Apartment,  Lavington,10000000
4 Bedroom House,  Rosslyn,70000000
3 Bedroom Townhouse,  Baraka/Nyayo,13000000
3 Bedroom Flat & Apartment,  Morning Side Park Apartments,13000000
4 Bedroom House,  Lavington,55000000
5 Bedroom Flat & Apartment,  Westlands Area,53000000
3 Bedroom Flat & Apartment,  Thika Road,14500000
4 Bedroom House,  Lavington,32500000
Office,  Moi Avenue ,350000000
3 Bedroom Flat & Apartment,  Mvuli Rd- Westlands,18000000
Commercial Property,  Cbd,980000000
3 Bedroom Flat & Apartment,  Kilimani,18000000
"5 Bedroom Bungalow
 ",  Karen,130000000
2 Bedroom Flat & Apartment,  Madaraka,7400000
3 Bedroom Townhouse,  Kitisuru,9000000
5 Bedroom Townhouse,  Lavington,200000
4 Bedroom Townhouse,  Kiambu Road,37000000
4 Bedroom Flat & Apartment,  South C,15500000
5 Bedroom House,  Runda,150000000
6 Bedroom House,  Runda,200000000
3 Bedroom Flat & Apartment,  Gitanga Road,18500000
3 Bedroom House,  Ngong Road,80000000
4 Bedroom Townhouse,  Lavington,65000000
Residential Land,  Karen,8500000
5 Bedroom Bungalow,  Karen,110000000
5 Bedroom House,  Karen,130000000
4 Bedroom Flat & Apartment,  Kiambu Road,14000000
Studio,  Wanyee Road,2000000
2 Bedroom Flat & Apartment,  Utawala,3900000
3 Bedroom Flat & Apartment,  Riverside,40000000
Commercial Land,  Loresho,180000000
2 Bedroom Flat & Apartment,  Brookside,18500000
Residential Land,  Runda,4500000
3 Bedroom Bungalow,  Ruai,4700000
Agricultural Land,  Kiambu Road,18000000
Land,  Mzima Springs,250000000
2 Bedroom Flat & Apartment,  Mombasa Road,7000000
4 Bedroom House,  Karen,88000000
4 Bedroom Townhouse,  Runda,35000000
3 Bedroom Flat & Apartment,  Pangani,11600000
2 Bedroom Flat & Apartment,  Kileleshwa,9500000
3 Bedroom Flat & Apartment,  Riverside,45000000
2 Bedroom Flat & Apartment,  Kileleshwa,8500000
5 Bedroom Townhouse,  Lower Kabete,200000000
4 Bedroom Flat & Apartment,  Fair View Rd,12200000
2 Bedroom Flat & Apartment,  Pangani,7100000
3 Bedroom Townhouse,  Kiambu Road,35000000
4 Bedroom Townhouse,  Kiambu Road,40000000
2 Bedroom Flat & Apartment,  Siaya Road,19500000
4 Bedroom Flat & Apartment,  Lavington,34000000
4 Bedroom Flat & Apartment,  Lavington,37000000
Flat & Apartment,  Pangani,4800000
