iter	Logloss
0	0.6868253022
1	0.6798308432
2	0.6740183928
3	0.6678092947
4	0.6612383838
5	0.6567317541
6	0.6518669324
7	0.646508169
8	0.6413251317
9	0.6362573807
10	0.6307061466
11	0.6259044482
12	0.6211097793
13	0.6159678719
14	0.6109365593
15	0.6068038863
16	0.6028596239
17	0.5989621205
18	0.5941250264
19	0.590230233
20	0.5860708237
21	0.5817361184
22	0.5779432024
23	0.5743405399
24	0.5700429625
25	0.5660793974
26	0.5626321903
27	0.5599465932
28	0.5573084981
29	0.5541801618
30	0.5510789016
31	0.5484903071
32	0.5458180207
33	0.5435604361
34	0.5411772529
35	0.538318728
36	0.5356579107
37	0.5333705615
38	0.5307669544
39	0.527877939
40	0.5258955196
41	0.5234587899
42	0.521209021
43	0.5192318005
44	0.5175559959
45	0.515015037
46	0.5116516925
47	0.5086786044
48	0.5064376463
49	0.5040755662
50	0.5011142046
51	0.4986375966
52	0.4967049159
53	0.49439889
54	0.4922622899
55	0.4901615792
56	0.4880219965
57	0.4859129207
58	0.483089992
59	0.4807378742
60	0.4792261152
61	0.4777366603
62	0.4762844681
63	0.4744782963
64	0.4735757988
65	0.4720261847
66	0.4710309201
67	0.469376659
68	0.4676849358
69	0.4653859131
70	0.4632636886
71	0.4622020656
72	0.4606111086
73	0.4597509757
74	0.4582705533
75	0.4567479669
76	0.4551071912
77	0.4537229146
78	0.4520897494
79	0.4510706407
80	0.4498451679
81	0.4486228686
82	0.4463691639
83	0.4441957193
84	0.4433880488
85	0.442459376
86	0.4416567494
87	0.4406489372
88	0.4393635736
89	0.4383537598
90	0.4370974776
91	0.4356125955
92	0.4349860266
93	0.4338893504
94	0.4328439282
95	0.43207054
96	0.4317100942
97	0.4305148836
98	0.4287845505
99	0.4279808634
100	0.427266833
101	0.42680292
102	0.4251657618
103	0.4242078685
104	0.4228237764
105	0.4213631548
106	0.420588492
107	0.4195339578
108	0.4182640752
109	0.416702714
110	0.4156238593
111	0.4152238984
112	0.4140938776
113	0.4127933073
114	0.4120407926
115	0.411200626
116	0.4105454545
117	0.4093073575
118	0.4076962877
119	0.407206107
120	0.4062972761
121	0.4052128088
122	0.4045136575
123	0.4037926402
124	0.4027663783
125	0.4018778545
126	0.401241545
127	0.4005949371
128	0.3998425962
129	0.3992116743
130	0.3987438905
131	0.3966478431
