iter	Passed	Remaining
424	2241	3032
425	2246	3027
426	2250	3020
427	2254	3013
428	2259	3007
429	2265	3002
430	2270	2996
431	2274	2990
432	2279	2984
433	2283	2977
434	2287	2970
435	2293	2966
436	2298	2961
437	2304	2957
438	2310	2952
439	2314	2945
440	2318	2938
441	2322	2932
442	2327	2926
443	2332	2921
444	2337	2915
445	2341	2909
446	2347	2904
447	2352	2898
448	2357	2892
449	2362	2888
450	2368	2883
451	2373	2877
452	2379	2873
453	2383	2866
454	2387	2859
455	2391	2853
456	2397	2848
457	2404	2844
458	2408	2838
459	2412	2831
460	2415	2824
461	2420	2818
462	2425	2813
463	2429	2806
464	2434	2801
465	2441	2797
466	2447	2793
467	2455	2791
468	2460	2786
469	2466	2781
470	2472	2777
471	2476	2770
472	2483	2766
473	2487	2760
474	2491	2754
475	2496	2747
476	2500	2741
477	2504	2735
478	2509	2729
479	2513	2723
480	2518	2717
481	2522	2711
482	2528	2706
483	2534	2701
484	2536	2693
485	2542	2689
486	2547	2683
487	2552	2678
488	2557	2672
489	2561	2666
490	2568	2662
491	2572	2655
492	2577	2651
493	2584	2646
494	2589	2641
495	2595	2636
496	2602	2633
497	2607	2628
498	2611	2621
499	2620	2620
500	2625	2614
501	2631	2610
502	2635	2603
503	2640	2598
504	2644	2592
505	2650	2587
506	2655	2582
507	2662	2578
508	2667	2572
509	2673	2568
510	2677	2562
511	2683	2557
512	2687	2551
513	2694	2548
514	2699	2541
515	2703	2535
516	2707	2529
517	2712	2523
518	2718	2519
519	2723	2514
520	2729	2509
521	2733	2502
522	2738	2497
523	2743	2492
524	2748	2487
525	2753	2481
526	2760	2477
527	2764	2471
528	2768	2465
529	2772	2458
530	2777	2452
531	2781	2447
532	2786	2441
533	2793	2437
534	2797	2431
535	2801	2425
536	2805	2419
537	2814	2416
538	2818	2410
539	2824	2405
540	2828	2399
541	2832	2393
542	2838	2389
543	2842	2382
544	2846	2376
545	2850	2370
546	2854	2363
547	2858	2357
548	2862	2351
549	2865	2344
550	2870	2338
551	2874	2332
552	2878	2326
553	2882	2320
554	2886	2314
555	2890	2308
556	2895	2302
557	2899	2296
558	2903	2290
559	2907	2284
560	2911	2278
561	2915	2272
562	2920	2266
563	2925	2261
564	2930	2255
565	2936	2251
566	2941	2246
567	2945	2240
568	2949	2233
569	2953	2228
570	2957	2222
571	2961	2216
572	2965	2209
573	2969	2204
574	2973	2197
575	2977	2191
576	2981	2185
