,title,location,price(L),rate_persqft,area_insqft,building_status
109,4 BHK Villa,Maheshwaram,185.0,5790 ,3212 ,Under Construction
110,2 BHK Apartment,Bachupally,52.58,4400 ,1195 ,Under Construction
111,3 BHK Apartment,Bachupally,74.58,4400 ,1695 ,Under Construction
112,3 BHK Apartment,Bachupally,70.18,4400 ,1595 ,Under Construction
113,3 BHK Apartment,Gopanpally,120.0,5600 ,2151 ,Under Construction
114,3 BHK Apartment,Gopanpally,121.0,5601 ,2176 ,Under Construction
115,3 BHK Apartment,Gopanpally,98.01,5601 ,1751 ,Under Construction
116,3 BHK Apartment,Gopanpally,107.0,5600 ,1926 ,Under Construction
117,3 BHK Apartment,Gopanpally,96.62,5601 ,1726 ,Under Construction
118,2 BHK Apartment,Mokila,45.98,3800 ,1210 ,Under Construction
119,2 BHK Apartment,Mokila,46.36,3800 ,1220 ,Under Construction
120,2 BHK Apartment,Mokila,44.84,3800 ,1180 ,Under Construction
121,3 BHK Apartment,Mokila,61.75,3800 ,1625 ,Under Construction
122,2 BHK Apartment,Mokila,45.22,3800 ,1190 ,Under Construction
123,3 BHK Apartment,Bandlaguda Jagir,90.22,5200 ,1735 ,Under Construction
124,3 BHK Apartment,Bandlaguda Jagir,83.98,5200 ,1615 ,Under Construction
125,3 BHK Apartment,Bandlaguda Jagir,84.5,5200 ,1625 ,Under Construction
126,3 BHK Apartment,Bandlaguda Jagir,86.32,5200 ,1660 ,Under Construction
127,2 BHK Apartment,Adibatla,45.55,3802 ,1199 ,Under Construction
128,3 BHK Apartment,Adibatla,56.99,3802 ,1500 ,Under Construction
129,2 BHK Apartment,Adibatla,45.45,3800 ,1196 ,Under Construction
130,3 BHK Apartment,Adibatla,57.01,3800 ,1500 ,Under Construction
131,3 BHK Apartment,Adibatla,50.83,3802 ,1338 ,Under Construction
132,2 BHK Apartment,Adibatla,41.82,3802 ,1101 ,Under Construction
133,3 BHK Apartment,Adibatla,75.0,3801 ,1974 ,Under Construction
134,2 BHK Apartment,Adibatla,40.61,3802 ,1069 ,Under Construction
135,2 BHK Apartment,Adibatla,41.79,3803 ,1100 ,Under Construction
136,Residential Plot,Alair,18.39,511 ,3600 ,New
137,Residential Plot,Alair,9.19,511 ,1800 ,New
138,Residential Plot,Alair,7.35,511 ,1440 ,New
139,Residential Plot,Alair,13.79,511 ,2700 ,New
