title,location,price,agent
3 Bedroom Flat & Apartment,  Brookside,21000000,coralinternational-ltd
Flat & Apartment,  Ngong Road,4000000,ace-realtors-limited
3 Bedroom Flat & Apartment,  Mombasa Road Behind Gate Way Mall,8500000,ace-realtors-limited
4 Bedroom Townhouse,  Kiambu Road,19500000,buy-rent-shelters
2 Bedroom Flat & Apartment,  Thika Road,6800000,landmark-realtors-ltd
4 Bedroom House,  Westlands. Off Rhapta Road,26000000,arkbridge-properties-limited
3 Bedroom Flat & Apartment,  Lavington,17000000,ace-realtors-limited
Office,  Off Lower Kabete Road,30680000,dunhill-consulting-limited
4 Bedroom Townhouse,  Garden City,34000000,arkbridge-properties-limited
3 Bedroom Flat & Apartment,  Kilimani,17000000,ace-realtors-limited
3 Bedroom Flat & Apartment,  Kilimani,16000000,nairobi-property
2 Bedroom Flat & Apartment,  Elgeyo Marakwet,9800000,peech-properties
3 Bedroom Flat & Apartment,  Westlands,17000000,fit-property
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,14000000,the_property_cloud
4 Bedroom Flat & Apartment,  Riara Lane,16500000,gna-real-estate
3 Bedroom Flat & Apartment,  Ngong Road,12000000,balis-properties
Shop,  Runda,30000000,nairobi-property
3 Bedroom Flat & Apartment,  Dennis Pritt,19500000,paradigm-homes
4 Bedroom House,  Karen,80000000,lenora_real-estate
8 Bedroom Townhouse,  Kitisuru,160000000,mindas-investments-properties
3 Bedroom Flat & Apartment,  Lavington,17500000,nairobi-property
3 Bedroom Flat & Apartment,  Church Road,20000000,paradigm-homes
2 Bedroom Flat & Apartment,  Parklands,14000000,fapcl-group
Flat & Apartment,  Kilimani,10000000,premier-gold-real-estate
2 Bedroom Flat & Apartment,  Muringa Road,9800000,urban-green-realty-limited
4 Bedroom Townhouse,  Thome,92000000,peech-properties
2 Bedroom Flat & Apartment,  Dennis Pritt,13500000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Riara Road,22000000,zuri-homes
2 Bedroom Flat & Apartment,  Kilimani,11200000,peech-properties
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,19800000,zuri-homes
3 Bedroom Flat & Apartment,  Kilimani,16500000,zuri-homes
3 Bedroom Flat & Apartment,  Kilimani,24000000,zuri-homes
Commercial Property,  Mwanzi Road,30000000,fit-property
Land,  Lavington,235000000,edlon-group-limited
3 Bedroom Flat & Apartment,  Riara Road,22000000,affordable-apartments-kenya
 3 Bedroom Flat & Apartment,  Dennis Pritt Road,19500000,affordable-apartments-kenya
2 Bedroom Flat & Apartment,  Kilimani,11500000,zuri-homes
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Kilimani,12500000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Kirichwa Road,19500000,valuespace-estates
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000,valuespace-estates
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000,valuespace-estates
3 Bedroom Flat & Apartment,  Dennis Pritt,19500000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Kilimani Road,12500000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Kilimani,10900000,zuri-homes
3 Bedroom Flat & Apartment,  Dennis Pritt Road,19500000,modernhomes-properties
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000,modernhomes-properties
3 Bedroom Flat & Apartment,  Elgeyo Marakwet,19800000,premium-properties
2 Bedroom Flat & Apartment,  Kilimani,13000000,zuri-homes
2 Bedroom Flat & Apartment,  Othaya Road,7500000,detiland-company-limited
4 Bedroom Townhouse,  Dennis Pritt/State House Road,75000000,regent-management-ltd
3 Bedroom Flat & Apartment,  Kilimani,13700000,trisums-investments-company-limited
2 Bedroom Flat & Apartment,  Kilimani,13000000,westside-real-estate
3 Bedroom Flat & Apartment,  Hekima Road,12000000,peech-properties
3 Bedroom Flat & Apartment,  Hendred Avenue,15000000,peech-properties
3 Bedroom Flat & Apartment,  Kilimani,18500000,peech-properties
3 Bedroom Flat & Apartment,  Kilimani,21000000,zuri-homes
3 Bedroom Flat & Apartment,  Kilimani,12500000,zuri-homes
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000,valuespace-estates
3 Bedroom Flat & Apartment,  Kilimani Road,12500000,modernhomes-properties
3 Bedroom Flat & Apartment,  Dennis Pritt Road,19500000,modernhomes-properties
3 Bedroom Flat & Apartment,  Elgeyo Marakwet Road,16000000,smartunit-homes
3 Bedroom Flat & Apartment,  Kirichwa Road,24000000,smartunit-homes
3 Bedroom Flat & Apartment,  Kilimani Road,12500000,smartunit-homes
3 Bedroom Flat & Apartment,  Near Yaya Center,13700000,smartunit-homes
2 Bedroom Flat & Apartment,  Kilimani,12000000,premium-properties
3 Bedroom Flat & Apartment,  Denis Pritt,10200000,premium-properties
Flat & Apartment,  Denis Pritt,9700000,premium-properties
2 Bedroom Flat & Apartment,  Kilimani,15000000,premium-properties
3 Bedroom Flat & Apartment,  Kileleshwa,17500000,balis-properties
Land,  Kiambu Road,350000000,cura-international-limited
3 Bedroom Flat & Apartment,  Kilimani,16500000,premier-gold-real-estate
2 Bedroom Flat & Apartment,  Kilimani Road,12000000,abec-real-estate
3 Bedroom Flat & Apartment,  Denis Pritt,10200000,premium-properties
2 Bedroom Flat & Apartment,  Kilimani,9800000,zuri-homes
2 Bedroom Flat & Apartment,  Argwings Kodhek ,9000000,sir-francis-marketingconsultants-ltd
2 Bedroom Flat & Apartment,  Elgeyo Marakwet,9800000,premium-properties
Flat & Apartment,  Dennis Pritt ,6500000,sir-francis-marketingconsultants-ltd
4 Bedroom Flat & Apartment,  Kilimani Road,26000000,absolute-properties-kenya
2 Bedroom Flat & Apartment,  Yaya Center ,8600000,sir-francis-marketingconsultants-ltd
4 Bedroom Flat & Apartment,  Kilimani Road,26000000,smartunit-homes
4 Bedroom Flat & Apartment,  Kilimani,26000000,valuespace-estates
4 Bedroom Flat & Apartment,  Kilimani Road,26000000,modernhomes-properties
4 Bedroom Flat & Apartment,  Kilimani,26000000,affordable-apartments-kenya
2 Bedroom Flat & Apartment,  Kindaruma Road,6600000,sir-francis-marketingconsultants-ltd
4 Bedroom Flat & Apartment,  Kilungu Road,17000000,premium-properties
4 Bedroom Flat & Apartment,  Argwings Kodhek Road ,25000000,sir-francis-marketingconsultants-ltd
3 Bedroom Flat & Apartment,  Rhapta Road,25500000,rashford-properties
3 Bedroom Flat & Apartment,  Church Road,20000000,dunhill-consulting-limited
Commercial Land,  Parklands,800000000,pinnacle-valuers
2 Bedroom Flat & Apartment,  Mkoma Road,8000000,turaco-properties-ltd
Studio,  Kindaruma Road,3600000,absolute-properties-kenya
2 Bedroom Flat & Apartment,  General Mathenge,18000000,dunhill-consulting-limited
2 Bedroom Flat & Apartment,  Gen. Mathege,26000000,absolute-properties-kenya
2 Bedroom Flat & Apartment,  Gen. Mathege Road,26000000,valuespace-estates
2 Bedroom Flat & Apartment,  Gen. Mathege Road,26000000,smartunit-homes
2 Bedroom Flat & Apartment,  Gen. Mathege Road,26000000,affordable-apartments-kenya
2 Bedroom Flat & Apartment,  Gen. Mathege,26000000,modernhomes-properties
3 Bedroom House,  Sub zone,8500000,buyrentkenya
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000,modernhomes-properties
4 Bedroom Flat & Apartment,  Riara Road,25000000,modernhomes-properties
4 Bedroom Flat & Apartment,  Riara Road,25000000,absolute-properties-kenya
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000,affordable-apartments-kenya
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000,absolute-properties-kenya
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000,valuespace-estates
4 Bedroom Flat & Apartment,  Argwings Kodhek Road,32000000,smartunit-homes
4 Bedroom Flat & Apartment,  Riara Road,25000000,affordable-apartments-kenya
4 Bedroom Flat & Apartment,  Riara Road,25000000,smartunit-homes
4 Bedroom Flat & Apartment,  Riara Road,25000000,valuespace-estates
2 Bedroom Flat & Apartment,  Kilimani,11000000,arkbridge-properties-limited
Land,  Karen,285000000,crystal-valuers-ltd
2 Bedroom Flat & Apartment,  Kiambu Road,10500000,apricotsolutions-limited
3 Bedroom Flat & Apartment,  Hamisi Rd,24000000,pam-golding-properties
3 Bedroom Bungalow,  Kagundo Road,5500000,nairobi-property
"3 Bedroom Flat & Apartment
 ",  Hekima Road,12000000,premium-properties
3 Bedroom Flat & Apartment,  Riverside Drive,55000000,apricotsolutions-limited
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000,valuespace-estates
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000,smartunit-homes
3 Bedroom Flat & Apartment,  Donyo Sabuk Road,30000000,modernhomes-properties
3 Bedroom Flat & Apartment,  Church Road,20000000,valuespace-estates
3 Bedroom Flat & Apartment,  Church Road,20000000,smartunit-homes
3 Bedroom Flat & Apartment,  Church Road,20000000,modernhomes-properties
3 Bedroom Flat & Apartment,  Oloitoktok Rd,28000000,pam-golding-properties
2 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000,absolute-properties-kenya
4 Bedroom Flat & Apartment,  Kileleshwa,12500000,nairobi-property
2 Bedroom Flat & Apartment,  South B,8500000,enkavilla-properties-limited
4 Bedroom House,  Loresho Ridge,72000000,prime-lands
4 Bedroom House,  South C,17000000,moscow-homes-estate-agency
6 Bedroom House,  Old Runda,100000000,acasa-realtors
3 Bedroom Flat & Apartment,  Lavington,17500000,arkbridge-properties-limited
2 Bedroom Flat & Apartment,  Kileleshwa,8500000,balis-properties
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000,smartunit-homes
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000,modernhomes-properties
3 Bedroom Flat & Apartment,  Cabral Paved Drive,25000000,valuespace-estates
3 Bedroom Flat & Apartment,  Jabavu Lane,12000000,premium-properties
3 Bedroom Flat & Apartment,  Kileleshwa,12000000,balis-properties
Flat & Apartment,  Kileleshwa,6500000,fapcl-group
4 Bedroom Townhouse,  Kitisuru,75000000,mindas-investments-properties
3 Bedroom Flat & Apartment,  Hekima Road,12000000,premium-properties
6 Bedroom Townhouse,  Runda,200000000,mindas-investments-properties
3 Bedroom Flat & Apartment,  Parklands,30000000,liflac-properties
5 Bedroom Townhouse,  Karen,65000000,green-sleeve-property
3 Bedroom Flat & Apartment,  Othaya Road,18000000,absolute-estate-agents
2 Bedroom Flat & Apartment,  Mogotio Road,13000000,absolute-properties-kenya
2 Bedroom Flat & Apartment,  Mogotio Road,13000000,smartunit-homes
2 Bedroom Flat & Apartment,  Mogotio Road,13000000,valuespace-estates
2 Bedroom Flat & Apartment,  Mogotia Road,13000000,modernhomes-properties
Land,  Kilimani,550000000,buyrentkenya
3 Bedroom Flat & Apartment,  Muringa Road,14000000,peech-properties
2 Bedroom Flat & Apartment,  Mogotia Road,13000000,affordable-apartments-kenya
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000,affordable-apartments-kenya
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000,modernhomes-properties
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000,smartunit-homes
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000,valuespace-estates
4 Bedroom Flat & Apartment,  Gen. Mathege Road,45000000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Kileleshwa,17500000,abec-real-estate
3 Bedroom Flat & Apartment,  Gatundu Cresent,20000000,premium-properties
3 Bedroom Flat & Apartment,  Gatundu Cresent,20000000,peech-properties
4 Bedroom Flat & Apartment,  Othaya Road,26500000,absolute-properties-kenya
4 Bedroom Flat & Apartment,  Othaya Road,21500000,azizi-realtors
2 Bedroom Flat & Apartment,  Kileleshwa,10000000,absolute-properties-kenya
4 Bedroom Flat & Apartment,  Othaya Road,26500000,valuespace-estates
4 Bedroom Flat & Apartment,  Othaya Road,26500000,modernhomes-properties
4 Bedroom Flat & Apartment,  Othaya Road,21500000,smartunit-homes
4 Bedroom Flat & Apartment,  Othaya Road,21500000,peech-properties
4 Bedroom Flat & Apartment,  Othaya Road,21500000,valuespace-estates
3 Bedroom Flat & Apartment,  Othaya Road,11000000,premium-properties
2 Bedroom Flat & Apartment,  Dennis Pritt Road,13000000,simkar-group-limited
3 Bedroom Flat & Apartment,  Gitanga Road,18500000,colburns-holdings
3 Bedroom Flat & Apartment,  Laikipia Road,12500000,affordable-apartments-kenya
4 Bedroom Flat & Apartment,  Othaya Road,21500000,modernhomes-properties
3 Bedroom Flat & Apartment,  Othaya Road,11000000,premium-properties
4 Bedroom Flat & Apartment,  Othaya Road,20500000,premium-properties
4 Bedroom Flat & Apartment,  Othaya Road ,21500000,sir-francis-marketingconsultants-ltd
2 Bedroom Flat & Apartment,  Kileleshwa,7500000,zuri-homes
2 Bedroom Flat & Apartment,  Othaya Road,7500000,peech-properties
Studio,  Kilimani,13280000,fapcl-group
3 Bedroom Flat & Apartment,  Clay City,8650000,crystal-valuers-ltd
4 Bedroom Flat & Apartment,  Othaya Road,26500000,affordable-apartments-kenya
2 Bedroom Flat & Apartment,  Kilimani,12900000,chelezo-house
6 Bedroom House,  Karen,90000000,lenora_real-estate
2 Bedroom Flat & Apartment,  Parklands,14700000,fapcl-group
3 Bedroom Townhouse,  Suswa Road Off Kusi Lane,30000000,waga-holdings-limited
3 Bedroom Flat & Apartment,  Kilimani,14650000,chelezo-house
3 Bedroom Flat & Apartment,  Lavington,28000000,prince-capital-properties-ltd
3 Bedroom Flat & Apartment,  Muhoho Avenue,13500000,rama-homes-limited
3 Bedroom Flat & Apartment,  Valley Arcade,11500000,sir-francis-marketingconsultants-ltd
Residential Land,  Njumbi Rd,185000000,crystal-valuers-ltd
Residential Land,  Kiambu Road,5000000,el-roi-properties
3 Bedroom Flat & Apartment,  Kilimani,15450000,chelezo-house
4 Bedroom Flat & Apartment,  Valley Arcade ,20500000,sir-francis-marketingconsultants-ltd
4 Bedroom Flat & Apartment,  Kilimani,16450000,chelezo-house
4 Bedroom Flat & Apartment,  1St Parklands Avenue ,20000000,dunhill-consulting-limited
3 Bedroom Flat & Apartment,  Lavington,12500000,zuri-homes
4 Bedroom Flat & Apartment,  General Mathenge,30000000,dunhill-consulting-limited
3 Bedroom Flat & Apartment,  Othaya Road,17500000,premium-properties
3 Bedroom Flat & Apartment,  Muringa Road,14000000,peech-properties
2 Bedroom Flat & Apartment,  Ojijo Road,16500000,absolute-properties-kenya
2 Bedroom Flat & Apartment,  Ojijo Road,16500000,smartunit-homes
2 Bedroom Flat & Apartment,  Ojijo Road,16500000,modernhomes-properties
2 Bedroom Flat & Apartment,  Ojijo Road,16500000,valuespace-estates
2 Bedroom Flat & Apartment,  Ojijo Road,16500000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Four Points Apartments,8500000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Githunguri Road,16500000,pam-golding-properties
Warehouse,  Babadogo Road - Ruaraka ,74815000,dunhill-consulting-limited
3 Bedroom Townhouse,  Mombasa Road,8000000,fapcl-group
3 Bedroom Flat & Apartment,  Dennis Pritt,12500000,premium-properties
4 Bedroom Flat & Apartment,  Lavington,21500000,arkbridge-properties-limited
Warehouse,  Road C,180000000,eastwood-consulting-ltd
3 Bedroom Flat & Apartment,  Kilimani,14450000,blue-falcon-estate-agent
2 Bedroom Flat & Apartment,  1St Parklands ,18000000,dunhill-consulting-limited
4 Bedroom House,  Miotoni Warai South,120000000,twinrocks-property-managers
5 Bedroom Townhouse,  Lavington,150000000,mindas-investments-properties
4 Bedroom Townhouse,  Lavington,61000000,fapcl-group
3 Bedroom Flat & Apartment,  Kilimani,12950000,nairobi-property
3 Bedroom House,  Riara Road,40000000,canaan-properties
5 Bedroom Townhouse,  Lavington,55000000,citiscape-valuers-and-estate-agents-ltd
5 Bedroom Townhouse,  Ngong Road,60000000,apollo-properties-limited
2 Bedroom Bungalow,  Imara Daima,7500000,canaan-properties
4 Bedroom Townhouse,  Lavington,64000000,citiscape-valuers-and-estate-agents-ltd
4 Bedroom Flat & Apartment,  Othaya Road,26500000,smartunit-homes
3 Bedroom Flat & Apartment,  Kilimani,14000000,prudential-green-ville
4 Bedroom House,  Lavington,53000000,jabemu-property-development
4 Bedroom Flat & Apartment,  Riara Road,15900000,paradigm-homes
4 Bedroom Townhouse,  Lavington,64000000,pam-golding-properties
3 Bedroom Flat & Apartment,  Gatundu Rd,26000000,rashford-properties
2 Bedroom Flat & Apartment,  Lavington,11000000,zuri-homes
3 Bedroom Flat & Apartment,  Hamisi Road,18000000,simkar-group-limited
Warehouse,  Industrial Area,70000000,standard-shelters-limited
4 Bedroom Flat & Apartment,  Limuru Road - City Park ,22000000,dunhill-consulting-limited
3 Bedroom Townhouse,  Kitisuru,9500000,azizi-realtors
2 Bedroom Flat & Apartment,  Westlands Area,15500000,urban-green-realty-limited
5 Bedroom Townhouse,  Riara Road,50000000,paradigm-homes
5 Bedroom House,  Runda,150000000,great-five-consultants
3 Bedroom Flat & Apartment,  Ngong Road,13950000,canaan-properties
3 Bedroom Flat & Apartment,  Kileleshwa,17500000,paradigm-homes
3 Bedroom Townhouse,  Kilimani,30000000,sky-limits-ventures
Warehouse,  Icd Road - Off Mombasa Road ,56000000,dunhill-consulting-limited
2 Bedroom Flat & Apartment,  Brookside,18500000,paradigm-homes
2 Bedroom Flat & Apartment,  Off Ngong Road,14500000,yellow-market
3 Bedroom Flat & Apartment,  Valley Arcade,14000000,lavingtonmanagement
Flat & Apartment,  Kileleshwa,14000000,paradigm-homes
3 Bedroom Townhouse,  Mombasa Road,12000000,landmark-realtors-ltd
5 Bedroom House,  Runda,150000000,tysons-limited
3 Bedroom Flat & Apartment,  Lavington,17500000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Lavington,17500000,modernhomes-properties
3 Bedroom Flat & Apartment,  Lavington,17500000,valuespace-estates
4 Bedroom Townhouse,  Runda,150000000,vector-afriq-properties
3 Bedroom Flat & Apartment,  Elgeiyo Marakwet,16500000,peech-limited
3 Bedroom Flat & Apartment,  Lavington,17500000,smartunit-homes
3 Bedroom Flat & Apartment,  Lavington,17500000,affordable-apartments-kenya
3 Bedroom Townhouse,  Donholm,12500000,azizi-realtors
5 Bedroom House,  Rosslyn Park,100000000,pam-golding-properties
4 Bedroom Flat & Apartment,  Lavington,20500000,paradigm-homes
5 Bedroom House,  Ridgeways,90000000,jafari-homes-limited
4 Bedroom Flat & Apartment,  Kilimani,23000000,azizi-realtors
Flat & Apartment,  Dennis Pritt ,67000000,sky-limits-ventures
5 Bedroom House,  Miotoni,120000000,pam-golding-properties
3 Bedroom Flat & Apartment,  Crescent Road,23000000,paradigm-homes
Flat & Apartment,  Kibichiku,2300000,the-epic-properties
3 Bedroom Flat & Apartment,  Riverside,19000000,paradigm-homes
Flat & Apartment,  Kingara Road,20000000,valuespace-estates
4 Bedroom Flat & Apartment,  Kingara Road,20000000,absolute-properties-kenya
4 Bedroom Flat & Apartment,  Kingara Road,20000000,modernhomes-properties
4 Bedroom Flat & Apartment,  Kingara Road,20000000,affordable-apartments-kenya
4 Bedroom Flat & Apartment,  Kingara Road,20000000,smartunit-homes
6 Bedroom House,  Karen,120000000,lenora_real-estate
5 Bedroom Townhouse,  Mpaka Road ,45500000,dunhill-consulting-limited
3 Bedroom Flat & Apartment,  Kilimani,15500000,zuri-homes
Office,  Gigiri,180,gimco-limited
5 Bedroom Bungalow,  Barrier 5,115000000,coralinternational-ltd
2 Bedroom Flat & Apartment,  Dennis Pritt,8000000,premium-properties
4 Bedroom Townhouse,  Kiambu Road,36000000,buy-rent-shelters
3 Bedroom Flat & Apartment,  Gatundu Close Rd,22500000,pam-golding-properties
4 Bedroom Flat & Apartment,  Raphta Road,38200000,pam-golding-properties
Flat & Apartment,  Dennis Pritt,4500000,ever-forgarden-
3 Bedroom Flat & Apartment,  Kilimani,17900000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Dennis Pritt Road,15300000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Kilimani,15900000,smartunit-homes
3 Bedroom Flat & Apartment,  Kilimani,17000000,smartunit-homes
3 Bedroom Flat & Apartment,  Kilimani,15900000,modernhomes-properties
3 Bedroom Flat & Apartment,  Kilimani,17000000,modernhomes-properties
3 Bedroom Flat & Apartment,  Kilimani,15900000,valuespace-estates
3 Bedroom Flat & Apartment,  Kilimani,17000000,valuespace-estates
