title,location,price,agent
3 Bedroom Bungalow,  Ruai,4250000,arthi-africa-homes
5 Bedroom House,  Karen,120000000,realty-plus
Commercial Land,  Riara Rd,220000000,sky-limits-ventures
3 Bedroom Flat & Apartment,  Valley Arcade,32000000,good-living-properties-limited
Residential Land,  Karen,8500000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Dennis Pritt,28000000,sky-limits-ventures
4 Bedroom House,  Rosslyn,70000000,realty-plus
5 Bedroom Townhouse,  Lavington,47500000,fapcl-group
3 Bedroom Flat & Apartment,  Morning Side Park Apartments,13000000,crystal-valuers-ltd
Land,  New Kitusuru Road ,68000000,own-it-kenya
3 Bedroom Townhouse,  Kitisuru,9000000,safaricom-investment-cooperative
5 Bedroom House,  Kiambu Road,25000000,el-roi-properties
5 Bedroom Flat & Apartment,  Westlands Area,53000000,affordable-apartments-kenya
Office,  Moi Avenue ,350000000,dunhill-consulting-limited
3 Bedroom House,  Ngong Road,80000000,el-roi-properties
3 Bedroom Flat & Apartment,  Gitanga Road,18500000,colburns-holdings
Commercial Land,  Loresho,180000000,nairobi-property
Residential Land,  Runda,4500000,nairobi-property
Agricultural Land,  Kiambu Road,18000000,arkbridge-properties-limited
4 Bedroom Townhouse,  Kiambu Road,37000000,wealthlink-realtors-ltd
Studio,  Wanyee Road,2000000,tsavo-city
4 Bedroom Flat & Apartment,  South C,15500000,rama-homes-limited
Studio,  Musindi Road,3000000,signature-africa
2 Bedroom Flat & Apartment,  Madaraka,7400000,realty-plus
5 Bedroom House,  Runda,150000000,cura-international-limited
4 Bedroom Flat & Apartment,  Mandera Road,50000000,gna-real-estate
6 Bedroom House,  Runda,200000000,wealthlink-realtors-ltd
5 Bedroom Bungalow,  Karen,110000000,westside-real-estate
5 Bedroom Flat & Apartment,  Kileleshwa,75000000,ring-kenya-ltd
Office,  Loresho,39800000,prime-lands
3 Bedroom Bungalow,  Ruai,4700000,vedic-ventures
5 Bedroom House,  Karen,130000000,bright-homes-management
5 Bedroom House,  Runda,115000000,paradigm-homes
2 Bedroom Flat & Apartment,  Utawala,3900000,tysons-limited
2 Bedroom Flat & Apartment,  Mombasa Road,7000000,fairdeal-properties-limited
Land,  Mzima Springs,250000000,absolute-estate-agents
4 Bedroom Townhouse,  Runda,35000000,regent-management-ltd
4 Bedroom House,  Karen,88000000,realty-plus
3 Bedroom Flat & Apartment,  General Mathenge,26500000,peponi-co-real-estate
5 Bedroom Townhouse,  Lower Kabete,200000000,acasa-realtors
3 Bedroom Flat & Apartment,  Pangani,11600000,pramukh-developers-limited
4 Bedroom Townhouse,  Riverside,60000000,halifax-estate-agency
2 Bedroom Flat & Apartment,  Kileleshwa,9500000,kaisa-ventures-kenya-limited
2 Bedroom Flat & Apartment,  Kileleshwa,8500000,kaisa-ventures-kenya-limited
4 Bedroom Flat & Apartment,  Fair View Rd,12200000,pramukh-developers-limited
2 Bedroom Flat & Apartment,  Pangani,7100000,pramukh-developers-limited
3 Bedroom Flat & Apartment,  Kilimani,37000000,paradigm-homes
2 Bedroom Flat & Apartment,  Dennis Pritt Road,13000000,simkar-group-limited
4 Bedroom Flat & Apartment,  Lavington,34000000,gitanga-duplexes
4 Bedroom Flat & Apartment,  Lavington,37000000,gitanga-duplexes
2 Bedroom Flat & Apartment,  Siaya Road,19500000,eastwood-consulting-ltd
5 Bedroom Townhouse,  Miotoni,130000000,pam-golding-properties
Flat & Apartment,  Pangani,4800000,pramukh-developers-limited
4 Bedroom Townhouse,  Golden Gate,13500000,origin-homes
5 Bedroom House,  Runda,100000000,cura-international-limited
3 Bedroom Flat & Apartment,  Brookside Pearl,22500000,coralinternational-ltd
4 Bedroom Townhouse,  Kiambu Road,19000000,wealthlink-realtors-ltd
2 Bedroom Flat & Apartment,  Bridgeview Apartments ,10650000,crystal-valuers-ltd
4 Bedroom Flat & Apartment,  Kileleshwa,35000000,bright-homes-management
4 Bedroom Townhouse,  Kiambu Road,40000000,wealthlink-realtors-ltd
4 Bedroom House,  Nyari,90000000,coralinternational-ltd
Office,  Kilimani,27500000,pam-golding-properties
2 Bedroom Flat & Apartment,  Nyeri Road Kileleshwa,16967000,hayer-one
Warehouse,  Baba Dogo Road,26650000,coralinternational-ltd
2 Bedroom Flat & Apartment,  Kilimani,13500000,realty-plus
5 Bedroom Flat & Apartment,  General Mathenge,65000000,coralinternational-ltd
"3 Bedroom Flat & Apartment
 ",  Kilimani,13500000,arkbridge-properties-limited
3 Bedroom Flat & Apartment,  Mombasa Road,12000000,fairdeal-properties-limited
4 Bedroom House,  Runda,130000000,liflac-properties
Residential Land,  Karen,50000000,leilach-properties
4 Bedroom Bungalow,  South C,15500000,laserservices-ltd
Land,  Njathaini Road,23500000,pam-golding-properties
Studio,  Mombasa Road,1850000,azizi-realtors
4 Bedroom House,  Kitisuru,90000000,realty-plus
5 Bedroom House,  Ushirika Road,105000000,knight-frank
Studio,  Pangani,3600000,pramukh-developers-limited
4 Bedroom Townhouse,  Kitisuru,165000000,eastwood-consulting-ltd
4 Bedroom House,  Limuru Road ,140000000,knight-frank
3 Bedroom Flat & Apartment,  Lavington,17500000,arkbridge-properties-limited
Commercial Land,  Off Kaptagat Road,38000000,coralinternational-ltd
3 Bedroom Bungalow,  Thika Road,3500000,property-ridge
Land,  Kilimani,550000000,buyrentkenya
3 Bedroom Flat & Apartment,  Riverside,19900000,affordable-apartments-kenya
2 Bedroom Flat & Apartment,  Kirichwa Road,21500000,azizi-realtors
5 Bedroom Townhouse,  Lavington,90000000,bright-homes-management
3 Bedroom Flat & Apartment,  Kilimani,28000000,vaal-real-estate
4 Bedroom House,  Gituamba Lane ,72000000,knight-frank
Flat & Apartment,  Two Rivers,8500000,centum-real-estate
3 Bedroom Flat & Apartment,  General Mathenge,26500000,vaal-real-estate
Residential Land,  Langata Area,8500000,crystal-valuers-ltd
4 Bedroom House,  Karen,90000000,jestrim-properties
5 Bedroom House,  Karen,90000000,leilach-properties
4 Bedroom Townhouse,  Muiri Lane,70000000,peponi-co-real-estate
3 Bedroom House,  Witeithie Malaba,4250000,azizi-realtors
3 Bedroom Flat & Apartment,  Riverside,25000000,ted-properties
3 Bedroom Flat & Apartment,  General Mathenge Lane,20000000,crystal-valuers-ltd
Land,  Kuwinda,28000000,waga-holdings-limited
4 Bedroom Flat & Apartment,  Kiambu Road,14500000,coralinternational-ltd
Land,  Karen,28000000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Kilimani,17000000,kenya-classic-homes
3 Bedroom Bungalow,  Exit 16,2990000,ted-properties
Office,  Westlands Area,28387000,pam-golding-properties
Studio,  Kileleshwa,3000000,kaisa-ventures-kenya-limited
4 Bedroom Flat & Apartment,  Kileleshwa,26000000,paradigm-homes
4 Bedroom Townhouse,  Dennis Pritt/State House Road,75000000,regent-management-ltd
4 Bedroom Flat & Apartment,  Off Arwings Kodhek Road,24500000,ring-kenya-ltd
Commercial Land,  Amboseli Lane,130000000,gna-real-estate
3 Bedroom Flat & Apartment,  Kileleshwa,25000000,edlon-group-limited
Land,  Kenyatta Road,2990000,ted-properties
Land,  Mumwe Drive,29000000,pam-golding-properties
5 Bedroom Townhouse,  Lavington,85000000,bright-homes-management
5 Bedroom House,  Loresho Ridge ,180000000,dunhill-consulting-limited
4 Bedroom House,  Kilimani,42000000,axis-real-estate
3 Bedroom Bungalow,  Kangundo Road,3950000,valentine-homes
5 Bedroom House,  Shinyalu Road,62000000,knight-frank
4 Bedroom Flat & Apartment,  Sixth Parklands,24000000,coralinternational-ltd
3 Bedroom Flat & Apartment,  Valley Arcade,26000000,vaal-real-estate
Land,  Othaya Road,380000000,highend-consulting
Land,  Runda,48000000,pam-golding-properties
5 Bedroom House,  Loresho,110000000,symonns-realty
3 Bedroom House,  Kigwa Ridge Estate,139000000,knight-frank
3 Bedroom House,  Next To Kitengela International School,4850000,valentine-homes
3 Bedroom Townhouse,  Ole Dume Road,26500000,crystal-valuers-ltd
Land,  Westlands Area,180000000,highend-consulting
3 Bedroom Flat & Apartment,  Kileleshwa,21000000,paradigm-homes
5 Bedroom House,  Warai South Road,120000000,knight-frank
3 Bedroom Flat & Apartment,  Brookside,25000000,vaal-real-estate
Commercial Property,  Jacaranda Avenue,280000000,simkar-group-limited
Office,  Ngong Road,35000000,el-roi-properties
4 Bedroom Townhouse,  Grevillea Grove,50000000,pam-golding-properties
Commercial Land,  Industrial Area,120000000,highend-consulting
3 Bedroom Flat & Apartment,  Kilimani,21000000,arkbridge-properties-limited
3 Bedroom Flat & Apartment,  Othaya Rd,17500000,arkbridge-properties-limited
Land,  Gatundu,280000000,arkbridge-properties-limited
5 Bedroom House,  Westlands Area,55000000,vaal-real-estate
2 Bedroom Flat & Apartment,  Ojijo Road,14500000,coralinternational-ltd
7 Bedroom House,  Runda,145000000,ring-kenya-ltd
Residential Land,  Muthangari,260000000,arkbridge-properties-limited
Commercial Land,  Upperhill Road,230000000,highend-consulting
5 Bedroom Townhouse,  Lavington,75000000,paradigm-homes
4 Bedroom Townhouse,  Kiambu Road,40750000,ams-properties-limited
Townhouse,  Kiambu Road,63950000,ams-properties-limited
5 Bedroom House,  Runda,200000000,wealthlink-realtors-ltd
6 Bedroom Townhouse,  Lavington,90000000,edlon-group-limited
5 Bedroom House,  Three D Lane ,105000000,knight-frank
5 Bedroom Bungalow,  North Muthaiga,80000000,leilach-properties
5 Bedroom House,  Bogani Road,77500000,knight-frank
Commercial Land,  Parklands,250000000,highend-consulting
5 Bedroom Flat & Apartment,  Kitisuru,145000000,vaal-real-estate
3 Bedroom Flat & Apartment,  Savannah Land Apartments,23500000,crystal-valuers-ltd
4 Bedroom Flat & Apartment,  Riverside,60000000,paradigm-homes
4 Bedroom Flat & Apartment,  Lavington,20900000,paradigm-homes
4 Bedroom Townhouse,  Mukoma Estate,58000000,peponi-co-real-estate
4 Bedroom Townhouse,  Kiambu Road,55250000,ams-properties-limited
3 Bedroom Flat & Apartment,  Kilimani,16500000,arkbridge-properties-limited
4 Bedroom Townhouse,  Kiambu Road,37000000,azizi-realtors
3 Bedroom Flat & Apartment,  Kilimani,19800000,miamu-properties-limited
5 Bedroom House,  Kombe Road,85000000,knight-frank
5 Bedroom Townhouse,  Karen,90000000,realty-plus
3 Bedroom Flat & Apartment,  Southern Oasis Apartments,27000000,crystal-valuers-ltd
7 Bedroom House,  Runda,140000000,wealthlink-realtors-ltd
3 Bedroom Flat & Apartment,  Kilimani,19000000,miamu-properties-limited
4 Bedroom Townhouse,  Shanzu Road,125000000,fit-property
Residential Land,  Karen,180000000,colburns-holdings
4 Bedroom Townhouse,  Lavington,65000000,affordable-apartments-kenya
2 Bedroom Flat & Apartment,  Westlands/ Parklands Suburb,14500000,azizi-realtors
Studio,  Off Ngong Rd At Kenol Petrol Station,3590000,shingles-kenya-limited
6 Bedroom House,  Kyuna View Garden Villas,65000000,crystal-valuers-ltd
5 Bedroom House,  Nyari,190000000,simkar-group-limited
2 Bedroom Flat & Apartment,  Kilimani,10800000,arkbridge-properties-limited
4 Bedroom House,  Runda,90000000,paradigm-homes
2 Bedroom Flat & Apartment,  Kileleshwa,8500000,zuri-homes
3 Bedroom Flat & Apartment,  Lavington,11000000,zuri-homes
2 Bedroom Flat & Apartment,  Westlands. Off Rhapta Road,14500000,ace-realtors-limited
4 Bedroom House,  Mirema Drive,16000000,nairobi-assets
6 Bedroom Townhouse,  Karen,125000000,mindas-investments-properties
3 Bedroom Flat & Apartment,  Kilimani,16500000,zuri-homes
2 Bedroom Flat & Apartment,  Kilimani,12000000,sky-limits-ventures
2 Bedroom Flat & Apartment,  Kindaruma Road,8800000,commercial-property-kenya
5 Bedroom Townhouse,  Lavington,60000000,mindas-investments-properties
Flat & Apartment,  Dennis Pritt,4500000,the_property_cloud
3 Bedroom Flat & Apartment,  Kilimani,13000000,zuri-homes
4 Bedroom Flat & Apartment,  Yaya,17000000,commercial-property-kenya
3 Bedroom Flat & Apartment,  Gitanga Road,12900000,commercial-property-kenya
3 Bedroom Flat & Apartment,  Argwings Kodhek,10000000,commercial-property-kenya
4 Bedroom Flat & Apartment,  Westlands Area,40000000,citiscape-valuers-and-estate-agents-ltd
2 Bedroom Flat & Apartment,  Kilimani,11500000,azizi-realtors
3 Bedroom Flat & Apartment,  Kileleshwa,17500000,balis-properties
Flat & Apartment,  Kilimani,3500000,splendor-holdings
2 Bedroom Flat & Apartment,  Kileleshwa,14000000,westside-real-estate
3 Bedroom Flat & Apartment,  Kilimani,19300000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Kangundo Road,25000000,real-management-services-2002limited
Flat & Apartment,  Riverside,16000000,miyungus-agency
4 Bedroom Flat & Apartment,  Othaya Road,20500000,premium-properties
7 Bedroom Townhouse,  Nairobi West,40000000,leilach-properties
3 Bedroom Flat & Apartment,  Kileleshwa,10000000,paradigm-homes
Flat & Apartment,  Kileleshwa,10500000,westside-real-estate
2 Bedroom Flat & Apartment,  Kilimani,12000000,trisums-investments-company-limited
4 Bedroom Flat & Apartment,  Othaya Road,21500000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Argwings Kodhek Road,29000000,gna-real-estate
3 Bedroom Flat & Apartment,  Daidai,13000000,vacation-homes-ltd
2 Bedroom Flat & Apartment,  Kilimani,8300000,modernhomes-properties
2 Bedroom Flat & Apartment,  Ngong Road,11000000,absolute-estate-agents
5 Bedroom Townhouse,  Garden Estate,64000000,nairobi-assets
3 Bedroom Flat & Apartment,  Ngong Road,14300000,absolute-estate-agents
4 Bedroom Townhouse,  Kilimani,25999999,splendor-holdings
4 Bedroom Flat & Apartment,  Parklands,27000000,vaal-real-estate
Land,  Karen,20000000,lenora_real-estate
3 Bedroom Flat & Apartment,  The Grand Eben,11500000,crystal-valuers-ltd
2 Bedroom Flat & Apartment,  Othaya Road ,7500000,absolute-estate-agents
Residential Land,  Mwiki,800000000,second-exodus-realtors
House,  Karen,60000000,lenora_real-estate
Studio,  Kileleshwa,3600000,affordable-apartments-kenya
Flat & Apartment,  Kilimani,4500000,azizi-realtors
Commercial Property,  Ngara,72000000,regent-management-ltd
3 Bedroom Flat & Apartment,  Langata Area,11500000,stop-properties-real-estate
4 Bedroom Residential Land,  Waiyaki Way,150000000,apollo-properties-limited
"4 Bedroom Townhouse
 ",  Lavington,66500000,azizi-realtors
2 Bedroom Flat & Apartment,  Kileleshwa,11147300,vaal-real-estate
Land,  Thika Road,10000000,sparrow-property-consultants
2 Bedroom Flat & Apartment,  Kileleshwa,13158000,vaal-real-estate
3 Bedroom Flat & Apartment,  Kileleshwa,15900000,vaal-real-estate
Office,  Fourth Ngong Avenue,24786000,pam-golding-properties
2 Bedroom Flat & Apartment,  Kilimani,10800000,arkbridge-properties-limited
2 Bedroom Flat & Apartment,  Riruta,7200000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Othaya Road,17500000,peech-properties
2 Bedroom Flat & Apartment,  Uthiru/Ruthimitu,7500000,crystal-valuers-ltd
Commercial Land,  Peponi Road,1150000000,simkar-group-limited
3 Bedroom Flat & Apartment,  Kilimani,13500000,paradigm-homes
Commercial Land,  Baba Dogo,27625000,apricotsolutions-limited
4 Bedroom Townhouse,  Westlands Area,38000000,edlon-group-limited
3 Bedroom Flat & Apartment,  6Th Avenue,28000000,arcade-ventures-properties
4 Bedroom Townhouse,  Riverside,65000000,vaal-real-estate
2 Bedroom Flat & Apartment,  Lavington,10000000,arkbridge-properties-limited
Flat & Apartment,  Kileleshwa,7700000,vaal-real-estate
4 Bedroom Townhouse,  Langata Area,32000000,prince-capital-properties-ltd
Warehouse,  Off Babadogo Road - Ruaraka ,34672900,dunhill-consulting-limited
3 Bedroom Flat & Apartment,  Lavington,17500000,arkbridge-properties-limited
Residential Land,  Muteero Close,60000000,highend-consulting
5 Bedroom House,  Karen,75000000,leilach-properties
2 Bedroom Flat & Apartment,  Ngong Road,7950000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Kilimani,15300000,affordable-apartments-kenya
3 Bedroom Flat & Apartment,  Imara Daima,9000000,gna-real-estate
5 Bedroom Townhouse,  Grevillea Grove,45000000,el-roi-properties
3 Bedroom Flat & Apartment,  Ngong Road,16000000,karengatamanagers
3 Bedroom Flat & Apartment,  Imara Daima,10000000,pam-golding-properties
3 Bedroom Flat & Apartment,  Lavington,11000000,arkbridge-properties-limited
Flat & Apartment,  Denis Pritt,6500000,peech-limited
5 Bedroom Townhouse,  Karen,105000000,azizi-realtors
3 Bedroom Bungalow,  Imara Daima,8200000,sparrow-property-consultants
3 Bedroom Flat & Apartment,  Denali Apartments,9950000,crystal-valuers-ltd
5 Bedroom House,  North Airport Road,13500000,fahari-realtors-ltd
Commercial Land,  Woodley Estate,46000000,crystal-valuers-ltd
Land,  Othaya Road,200000000,colburns-holdings
4 Bedroom House,  Kitisuru,75000000,pro-property-solutions-ltd
5 Bedroom Flat & Apartment,  Laikipia Road,8500000,azizi-realtors
3 Bedroom Bungalow,  Kagundo Road,5500000,jabemu-property-development
4 Bedroom Flat & Apartment,  Lavington,50000000,fahari-realtors-ltd
3 Bedroom Flat & Apartment,  Clay City Apartments,8650000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Kingara Road,12000000,gna-real-estate
Commercial Property,  Chania Avenue,50000000,pam-golding-properties
Residential Land,  Lavington,285000000,edlon-group-limited
Warehouse,  Baba Dogo,37212000,waga-holdings-limited
4 Bedroom Bungalow,  Ngong Road,35000000,sparrow-property-consultants
2 Bedroom Flat & Apartment,  Finheights Apartments,7750000,crystal-valuers-ltd
Commercial Land,  Ngong Road,450000000,highend-consulting
2 Bedroom Flat & Apartment,  Kilimani,12000000,peech-properties
3 Bedroom Flat & Apartment,  Woodley Springs Apartments,15000000,crystal-valuers-ltd
3 Bedroom Flat & Apartment,  Hamisi Road,18000000,simkar-group-limited
3 Bedroom House,  Waiyaki Way,5500000,pro-property-solutions-ltd
Studio,  Garden City ,6900000,azizi-realtors
Warehouse,  Baba Dogo Road,26526500,waga-holdings-limited
4 Bedroom Townhouse,  Lavington,60000000,vaal-real-estate
3 Bedroom Flat & Apartment,  Off Mombasa Road,12950000,enzi-heights
Residential Land,  Runda,34000000,pam-golding-properties
Warehouse,  Industrial Area,70000000,standard-shelters-limited
Commercial Land,  General Mathenge,480000000,simkar-group-limited
2 Bedroom Flat & Apartment,  Westlands Area,18100000,affordable-apartments-kenya
Residential Land,  Ololua Ridge,350000000,simkar-group-limited
Residential Land,  Kiambu Road,5000000,el-roi-properties
Office,  Parklands,10000,tysons-limited
3 Bedroom Flat & Apartment,  Ngong Road,13500000,affordable-apartments-kenya
5 Bedroom Townhouse,  Lavington,75000000,vaal-real-estate
Flat & Apartment,  Westlands Area,9200000,vaal-real-estate
4 Bedroom Townhouse,  Garden City,33000000,pam-golding-properties
3 Bedroom Flat & Apartment,  Morningside Park Apartments ,13000000,crystal-valuers-ltd
4 Bedroom Townhouse,  Kiambu Road,30000000,edlon-group-limited
2 Bedroom Flat & Apartment,  Ngong Road,12000000,simkar-group-limited
2 Bedroom Flat & Apartment,  Waiyaki Way,11500000,azizi-realtors
2 Bedroom Flat & Apartment,  Kileleshwa,14500000,absolute-properties-kenya
3 Bedroom Flat & Apartment,  Kilimani,17000000,arkbridge-properties-limited
2 Bedroom Flat & Apartment,  Kileleshwa,10900000,vaal-real-estate
Studio,  Othaya Rd,3600000,arkbridge-properties-limited
2 Bedroom Flat & Apartment,  Naivasha Rd,10900000,shingles-kenya-limited
2 Bedroom Flat & Apartment,  Lavington,9500000,arkbridge-properties-limited
3 Bedroom Bungalow,  Thika Road,3500000,renton
3 Bedroom Flat & Apartment,  Kileleshwa,23000000,prudential-green-ville
Flat & Apartment,  Off Mombasa Road,6950000,enzi-heights
2 Bedroom Flat & Apartment,  Mkoma Road,8000000,turaco-properties-ltd
4 Bedroom Townhouse,  Runda Paradise,25000000,wealthlink-realtors-ltd
4 Bedroom Townhouse,  Lavington,65000000,paradigm-homes
3 Bedroom Flat & Apartment,  Kilimani,17000000,arkbridge-properties-limited
2 Bedroom Flat & Apartment,  Riara Lane ,10900000,brutan-management
4 Bedroom Bungalow,  Donholm,20000000,edlon-group-limited
3 Bedroom Flat & Apartment,  Lavington,11000000,arkbridge-properties-limited
4 Bedroom House,  Kiambu Road,35000000,solid-oak-properties
2 Bedroom Flat & Apartment,  Kileleshwa,8500000,absolute-properties-kenya
2 Bedroom Flat & Apartment,  Laikipia Road Off Ring Road Kilelshwa,15000000,azizi-realtors
3 Bedroom Townhouse,  Kiambu Road,35250000,ams-properties-limited
Residential Land,  Ibis,50000000,franic-villa-properties
Flat & Apartment,  Off Denis Pritt,9000000,peech-limited
Residential Land,  Kahawa Sukari,11000000,leesh-enterprises
3 Bedroom Flat & Apartment,  Othaya Road,17500000,arkbridge-properties-limited
3 Bedroom Flat & Apartment,  Kahawa West,8500000,ashgate-limited
3 Bedroom Flat & Apartment,  Othaya Road,21000000,commercial-property-kenya
3 Bedroom Flat & Apartment,  Yaya,13000000,commercial-property-kenya
Residential Land,  New Muthaiga,100000000,jubilee-real-estate
3 Bedroom Flat & Apartment,  Elgeiyo Marakwet-Muringa Intersection,21000000,peech-limited
Land,  Ndege Road,75000000,symonns-realty
Flat & Apartment,  Westlands Road,10900000,nairobi-assets
2 Bedroom Flat & Apartment,  Kindaruma Road,12950000,nairobi-assets
Residential Land,  Lavington,125000000,hanspace-limited
5 Bedroom Townhouse,  Lavington,55000000,splendor-holdings
Commercial Property,  Lavington,380000000,miyungus-agency
3 Bedroom Flat & Apartment,  Elgeiyo Marakwet,16500000,peech-limited
4 Bedroom Flat & Apartment,  Kilimani,15000000,ring-kenya-ltd
3 Bedroom Flat & Apartment,  Hekima Road,13500000,peech-limited
5 Bedroom Townhouse,  Lavington,55000000,splendor-holdings
Residential Land,  Ruaka Road,125000000,jubilee-real-estate
Commercial Land,  Lacky Summer,2700000,franic-villa-properties
5 Bedroom Townhouse,  Runda Road,180000000,westside-real-estate
Commercial Land,  Kilimani,380000000,nairobi-property
2 Bedroom Flat & Apartment,  Kilimani,7500000,absolute-estate-agents
Land,  Karen Plains,65000000,links-properties
3 Bedroom Flat & Apartment,  Kilimani,12900000,paradigm-homes
3 Bedroom Flat & Apartment,  Kilimani,24500000,fapcl-group
Land,  Along Un Crescent,120000000,great-five-consultants
Land,  Next To Wilson Airport,90000000,royani-properties-limited
3 Bedroom Flat & Apartment,  Kilimani,16500000,peech-limited
2 Bedroom Flat & Apartment,  Kilimani,11000000,urban-green-realty-limited
2 Bedroom Flat & Apartment,  Siaya Rd,19000000,top-listing
Commercial Land,  Gitanga Rd,400000000,lavingtonmanagement
Residential Land,  Muthaiga Lane,180000000,dunhill-consulting-limited
Commercial Land,  Lower Kabete,94500000,datka-estate-agency
Residential Land,  Mushroom Estate,16800000,franic-villa-properties
Residential Land,  Muthaiga North,50000000,wealthlink-realtors-ltd
5 Bedroom Townhouse,  Lavington,75000000,leesh-enterprises
Commercial Land,  Clay City,12000000,rangonela-settlers
Land,  Thindigua 1Km From Delta Petrol Station,80000000,royani-properties-limited
2 Bedroom Flat & Apartment,  Off Mombasa Road,9950000,enzi-heights
Commercial Land,  Kabete Lane,160000000,dunhill-consulting-limited
Residential Land,  Stream Drive,26000000,pam-golding-properties
Residential Land,  Runda,45000000,dunhill-consulting-limited
8 Bedroom House,  Mimosa,200000000,westside-real-estate
Residential Land,  Mumwe,33000000,franic-villa-properties
Land,  Karen,300000000,splendor-holdings
Residential Land,  Thindigua,85000000,pam-golding-properties
Land,  Kitisuru,800000000,gimco-limited
Land,  Kawangware,32000000,crystal-valuers-ltd
Land,  Othaya Road ,215000000,lavingtonmanagement
Commercial Land,  Mombasa Road,45000000,amuti-services-ltd
3 Bedroom Bungalow,  Shade Zone,30000000,miyungus-agency
Land,  Mombasa Road,49000000,20th-century-real-estate
Flat & Apartment,  Kilimani,6600000,vaal-real-estate
Land,  Lavington,68000000,jabemu-property-development
Commercial Property,  3Rd Parklands Avenue,62500000,fit-property
Residential Land,  Off Silanga Road ,35000000,ric-realtors
Land,  Peponi Rise - Kitusuru ,100000000,dunhill-consulting-limited
Commercial Land,  Pipeline,10000000,good-living-properties-limited
Residential Land,  Runda,19000000,franic-villa-properties
Commercial Land,  Outering Road,40000000,waga-holdings-limited
Land,  Njiru,3500000,cura-international-limited
2 Bedroom Flat & Apartment,  Kilimani,12000000,peech-limited
Land,  Lavington,150000000,karengatamanagers
4 Bedroom Townhouse,  Rhapta Road,42500000,fit-property
Land,  Wangari Maathai Road - Forest Lane ,300000000,dunhill-consulting-limited
Land,  1St Parklands Avenue ,100000000,dunhill-consulting-limited
2 Bedroom Flat & Apartment,  Denis Pritt,8200000,peech-limited
Residential Land,  Lavington,480000000,rangonela-settlers
Commercial Land,  Mombasa Road,270000000,jabemu-property-development
Land,  Runda,38000000,vacation-homes-ltd
2 Bedroom Flat & Apartment,  Kilimani,7500000,peech-limited
Land,  Off Kaptagat Road,37500000,abec-real-estate
Commercial Land,  Lavington,250000000,ring-kenya-ltd
Residential Land,  Runda Drive,105000000,pam-golding-properties
Land,  Kilimani,170000000,urban-green-realty-limited
Commercial Property,  River Road,500000000,waga-holdings-limited
Commercial Land,  Waithaka,6500000,landmark-realtors-ltd
Warehouse,  Industrial Area,155000000,cura-international-limited
Land,  Lower Kabete,399000000,abec-real-estate
Residential Land,  Kamukunji,900000000,standard-shelters-limited
Land,  Kyuna Rise ,100000000,dunhill-consulting-limited
Commercial Land,  Kilimani,600000000,kenya-classic-homes
Commercial Land,  Kahawa West,2500000,excellent-choice-investment-limited
Flat & Apartment,  Othaya Road,3600000,absolute-estate-agents
Land,  Runda,24000000,liflac-properties
Land,  Spring Valley,300000000,wealthlink-realtors-ltd
Land,  Thigiri,110000000,cura-international-limited
Residential Land,  Langata Area,15000000,icon-valuers
Land,  Karen,600000000,lenora_real-estate
5 Bedroom House,  Kiambu Road,37000000,jabemu-property-development
4 Bedroom Townhouse,  Lavington,48000000,prince-classic-homes
Land,  Runda,44000000,liflac-properties
Commercial Land,  Kangemi,35000000,waga-holdings-limited
Commercial Land,  Ngong Road,1600000000,pam-golding-properties
Residential Land,  Garden Estate,10000000,wealthlink-realtors-ltd
Commercial Land,  James Gichuru Road,220000000,pam-golding-properties
Land,  Karen,220000000,second-exodus-realtors
Land,  Ngong Road,40000000,20th-century-real-estate
Land,  Karen,60000000,lenora_real-estate
Residential Land,  School Lane,105000000,waga-holdings-limited
Land,  Kilimani,250000000,properties-of-jkabi-enterprise
Land,  Marula Lane,195000000,blue-falcon-estate-agent
Land,  Ndovu Lane,300000000,blue-falcon-estate-agent
Land,  Windy Ridge,325000000,blue-falcon-estate-agent
Residential Land,  Karen,70000000,leilach-properties
Land,  Lower Kabete,42000000,pam-golding-properties
Land,  3Rd Parklands,250000000,pam-golding-properties
Commercial Land,  Mogotio Road,195000000,highend-consulting
2 Bedroom Flat & Apartment,  Kilimani,10500000,leilach-properties
5 Bedroom Townhouse,  Lower Kabete Road,89000000,westside-real-estate
Flat & Apartment,  4Th Parklands Avenue,8000000,primofort-investment
3 Bedroom Flat & Apartment,  Kilimani,15500000,arkbridge-properties-limited
Commercial Land,  Upper Hill,550000000,20th-century-real-estate
Residential Land,  Lower Kabete,60000000,cura-international-limited
Flat & Apartment,  Runda,8500000,axis-real-estate
6 Bedroom House,  Gigiri,175000000,fapcl-group
Land,  Kilimani,500000000,lavingtonmanagement
Commercial Land,  Ngara,49000000,coralinternational-ltd
Commercial Land,  Off Kiambu Road,75000000,pam-golding-properties
Residential Land,  Runda,45000000,coralinternational-ltd
Commercial Land,  Ndege Lane,60000000,peponi-co-real-estate
Residential Land,  Karen,60000000,leilach-properties
Residential Land,  Karen,33000000,leilach-properties
